word,form,definition,etymology,example,origin
enervate,verb,To cause (someone) to feel drained of energy; weaken.,"From Latin enervatus, from e- (variant of ex-) ‘out of’ + nervus ‘sinew’.",The hot sun enervated her to the point of collapse.,Latin
intransigent,adjective,Unwilling or refusing to change one's views or to agree about something.,"From French intransigeant, from Spanish intransigente.",The negotiations broke down due to both sides being intransigent.,French
obdurate,adjective,Stubbornly refusing to change one's opinion or course of action.,"From Latin obduratus, past participle of obdurare ‘harden’.","He remained obdurate, refusing to alter his decision.",Latin
trenchant,adjective,Vigorous or incisive in expression or style.,"From Old French trenchant, from trencher ‘to cut’.",His trenchant remarks cut through the confusion.,French
ubiquitous,adjective,"Present, appearing, or found everywhere.","From modern Latin ubiquitas, from Latin ubique ‘everywhere’.",Smartphones have become ubiquitous in modern society.,Latin
vicissitude,noun,"A change of circumstances or fortune, typically one that is unwelcome or unpleasant.","From Latin vicissitudo, from vicissim ‘by turns’.",He endured the vicissitudes of a turbulent career.,Latin
zephyr,noun,A soft gentle breeze.,"From Greek Zephuros, god of the west wind.",A zephyr cooled the hot summer air.,Greek
apocryphal,adjective,"(Of a story or statement) of doubtful authenticity, although widely circulated as being true.",From Greek apokruphos ‘hidden’.,The story of the haunted house is probably apocryphal.,Greek
cogent,adjective,"(Of an argument or case) clear, logical, and convincing.","From Latin cogent-, from cogere ‘drive together’.",She presented a cogent argument for the new policy.,Latin
demagogue,noun,A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument.,"From Greek dēmagōgos, from dēmos ‘people’ + agōgos ‘leading’.",The demagogue stirred up the crowd with fiery rhetoric.,Greek
fastidious,adjective,Very attentive to and concerned about accuracy and detail.,"From Latin fastidiosus, from fastidium ‘loathing’.",He chooses his words with fastidious care.,Latin
garrulous,adjective,"Excessively talkative, especially on trivial matters.","From Latin garrulus, from garrire ‘to chatter’.",The garrulous host kept the guests entertained all night.,Latin
harangue,noun,A lengthy and aggressive speech.,"From Italian aringa, from aringare ‘to speak in public’.",He delivered a harangue about the evils of the media.,Italian
iconoclast,noun,A person who attacks cherished beliefs or institutions.,"From Greek eikonoklastēs, from eikōn ‘image’ + klan ‘to break’.",The artist was known as an iconoclast in the art world.,Greek
juxtapose,verb,To place or deal with close together for contrasting effect.,"From French juxtaposer, from Latin juxta ‘next’ + French poser ‘to place’.",The exhibition juxtaposes modern art with classical sculpture.,Latin
kismet,noun,Destiny; fate.,"From Turkish, from Arabic qisma ‘division, portion, fate’.",It was kismet that they met that day.,Arabic
lucid,adjective,Expressed clearly; easy to understand.,"From Latin lucidus, from lucere ‘shine’.",She gave a lucid account of the events.,Latin
nefarious,adjective,(Typically of an action or activity) wicked or criminal.,"From Latin nefarius, from nefas ‘wrong, crime’.",The nefarious activities of the organized-crime syndicates were widely reported.,Latin
paragon,noun,A person or thing regarded as a perfect example of a particular quality.,"From Old French paragon, from Italian paragone ‘touchstone’.",She is a paragon of virtue.,French
rancor,noun,"Bitterness or resentfulness, especially when long-standing.",From Latin rancor ‘rankness’.,She answered her accusers calmly and without rancor.,Latin
tantamount,adjective,Equivalent in seriousness to; virtually the same as.,From Italian tanto ‘so much’ + ammontare ‘to amount to’.,His silence was tantamount to an admission of guilt.,Italian
wheedle,verb,To employ endearments or flattery to persuade someone to do something or give one something.,"Of uncertain origin, perhaps from Old English.",She managed to wheedle another piece of cake from her mother.,Old English
yokel,noun,An uneducated and unsophisticated person from the countryside.,"Of unknown origin, first recorded in the 19th century.",The city folk looked down on the yokel.,Other
zealot,noun,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.","From Greek zēlōtēs, from zēlos ‘zeal’.",He was a zealot for environmental causes.,Greek
abrogate,verb,"To repeal or do away with (a law, right, or formal agreement).","From Latin abrogat-, from abrogare ‘repeal’.",The treaty was abrogated in 1929.,Latin
blandishment,noun,A flattering or pleasing statement or action used to persuade someone gently to do something.,"From French blandissement, from blandir ‘to flatter’.",She used every blandishment to get her way.,French
capitulate,verb,Cease to resist an opponent or an unwelcome demand; surrender.,"From Latin capitulatus, from capitulum ‘chapter, heading’.",The enemy was forced to capitulate unconditionally.,Latin
deleterious,adjective,Causing harm or damage.,From Greek dēlētērios ‘noxious’.,Divorce is assumed to have deleterious effects on children.,Greek
effrontery,noun,Insolent or impertinent behavior.,"From French effronterie, from effronté ‘shameless’.",He had the effrontery to challenge the decision.,French
hapless,adjective,(Especially of a person) unfortunate.,From Old Norse happ ‘good luck’.,The hapless passengers were stranded at the airport.,Norse
impecunious,adjective,Having little or no money.,"From Latin impecuniosus, from in- ‘not’ + pecunia ‘money’.",He was a gifted but impecunious painter.,Latin
kaleidoscope,noun,A constantly changing pattern or sequence of objects or elements.,From Greek kalos ‘beautiful’ + eidos ‘form’ + skopein ‘to look at’.,The city lights formed a kaleidoscope of colors.,Greek
legerdemain,noun,Skillful use of one's hands when performing conjuring tricks.,From French léger de main ‘light of hand’.,The magician's legerdemain amazed the audience.,French
misanthrope,noun,A person who dislikes humankind and avoids human society.,"From Greek misanthrōpos, from misein ‘to hate’ + anthrōpos ‘man’.",The old man was a misanthrope who lived alone.,Greek
neophyte,noun,"A person who is new to a subject, skill, or belief.",From Greek neophutos ‘newly planted’.,"As a neophyte, she still had much to learn.",Greek
panacea,noun,A solution or remedy for all difficulties or diseases.,"From Greek panakeia, from pan ‘all’ + akos ‘remedy’.",There is no single panacea for the world's economic problems.,Greek
penchant,noun,A strong or habitual liking for something or tendency to do something.,From French penchant ‘leaning’.,She has a penchant for chocolate.,French
querulous,adjective,Complaining in a petulant or whining manner.,"From Latin querulus, from queri ‘to complain’.",The querulous old woman was never satisfied.,Latin
raconteur,noun,A person who tells anecdotes in a skillful and amusing way.,From French.,She was a brilliant raconteur.,French
surreptitious,adjective,"Kept secret, especially because it would not be approved of.","From Latin surreptitius, from surripere ‘seize secretly’.",They carried on a surreptitious affair.,Latin
tenuous,adjective,Very weak or slight.,From Latin tenuis ‘thin’.,The link between them was tenuous.,Latin
unctuous,adjective,(Of a person) excessively or ingratiatingly flattering; oily.,"From late Latin unctuosus, from unctus ‘anointing’.",He seemed unctuous and insincere.,Latin
winsome,adjective,Attractive or appealing in appearance or character.,"From Old English wynsum, from wynn ‘joy’.",She had a winsome smile.,Old English
adamant,adjective,Refusing to be persuaded or to change one's mind.,From Greek adamas ‘untameable’.,He is adamant that he is not going to resign.,Greek
bombastic,adjective,High-sounding but with little meaning; inflated.,From Middle French bombaste ‘cotton padding’.,His bombastic rhetoric concealed his lack of ideas.,French
cacophony,noun,"A harsh, discordant mixture of sounds.","From Greek kakophōnia, from kakos ‘bad’ + phōnē ‘voice’.",A cacophony of car horns filled the air.,Greek
didactic,adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.","From Greek didaktikos, from didaskein ‘to teach’.",The novel had a didactic purpose.,Greek
ebullient,adjective,Cheerful and full of energy.,"From Latin ebullient-, from ebullire ‘bubble out’.",She was ebullient about her new job.,Latin
fatuous,adjective,Silly and pointless.,From Latin fatuus ‘foolish’.,Don't badger people with fatuous questions.,Latin
gregarious,adjective,(Of a person) fond of company; sociable.,"From Latin gregarius, from grex ‘flock’.",He was a popular and gregarious man.,Latin
histrionic,adjective,Excessively theatrical or dramatic in character or style.,From Latin histrionicus ‘pertaining to actors’.,His histrionic outburst shocked everyone.,Latin
ignominious,adjective,Deserving or causing public disgrace or shame.,"From Latin ignominiosus, from ignominia ‘disgrace’.",It was an ignominious end to his career.,Latin
mendacious,adjective,Not telling the truth; lying.,"From Latin mendax, mendac- ‘lying’.",Mendacious politicians are nothing new.,Latin
ostensible,adjective,"Stated or appearing to be true, but not necessarily so.","From French ostensible, from Latin ostendere ‘to show’.",The ostensible reason for his visit was to see his parents.,Latin
palpable,adjective,(Of a feeling or atmosphere) so intense as to seem almost tangible.,"From late Latin palpabilis, from palpare ‘to feel’.",There was a palpable sense of relief in the room.,Latin
quiescent,adjective,In a state or period of inactivity or dormancy.,"From Latin quiescent-, from quiescere ‘be quiet’.",The volcano had been quiescent for centuries.,Latin
redolent,adjective,Strongly reminiscent or suggestive of (something).,"From Latin redolent-, from redolere ‘emit a scent’.",The air was redolent of pine needles.,Latin
saturnine,adjective,Slow and gloomy.,From Latin saturninus ‘of Saturn’.,His saturnine disposition made him difficult to befriend.,Latin
truculent,adjective,Eager or quick to argue or fight; aggressively defiant.,"From Latin truculentus, from trux ‘fierce’.",His truculent attitude alienated many people.,Latin
umbrage,noun,Offense or annoyance.,From French ombrage ‘shade’.,She took umbrage at his remarks.,French
vacillate,verb,Alternate or waver between different opinions or actions; be indecisive.,"From Latin vacillat-, from vacillare ‘sway to and fro’.",She vacillated between the two options.,Latin
wistful,adjective,Having or showing a feeling of vague or regretful longing.,From wistly ‘attentively’.,She cast a wistful glance at the departing train.,Other
cogitate,verb,"Think deeply about something, meditate or reflect","From Latin cogitatus, past participle of cogitare ""to think"", from co- ""together"" + agitare ""to turn over, consider"".",,Latin
bilious,adjective,"spiteful, bad-tempered","From Latin biliosus, from bilis ""bile"". Originally referred to an excess of bile, thought to cause irritability.",,Latin
abstemious, adjective ," Not self-indulgent, especially when eating or drinking                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","From Latin abstemius, from ab- ""away from"" + stem of temetum ""intoxicating drink"".",,Latin
aphorism, noun      ,"a pithy observation that contains a general truth, such as, “if it ain't broke, don't fix it.”.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","From Greek aphorismos ""definition, pithy sentence"", from aphorizein ""to mark off, divide"".",,Greek
aporia, noun      ," an irresolvable internal contradiction or logical disjunction in a text, argument, or theory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","From Greek aporia ""difficulty, perplexity"", from aporos ""impassable"", from a- ""without"" + poros ""passage"".",,Greek
placate, adjective ,make someone less angry or hostile,"From Latin placatus, past participle of placare ""to calm, appease"".",,Latin
inimical, adjective ,Tending to obstruct or harm; unfriendly; hostile.,"From Latin inimicalis, from inimicus ""enemy"", from in- ""not"" + amicus ""friend"".",,Latin
irascible, adjective ,"having or showing a tendency to be easily angered, very irritable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","From Latin irascibilis, from irasci ""to be angry"", from ira ""anger"".",,Latin
numinous, adjective ,having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"From Latin numinosus, from numen ""divine power"".",,Latin
oblique, adjective ,"not straightforward, indirect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","From Latin obliquus ""slanting, sidelong, indirect"".",,Latin
pedantic, adjective ,Excessively concerned with minor details and rules or with displaying academic learning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"From French pédantique, from Italian pedante ""teacher, schoolmaster"".",,French
reticent, adjective , Reluctant to share ones thoughts and feelings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"From Latin reticent- ""remaining silent"", from the verb reticere, from re- (expressing intensive force) + tacere ""be silent"".",,Latin
salutary, adjective ," producing good effects; beneficial,(especially with reference to something unwelcome                                                                                                                                                                                                                                                                                                                                                                                      ","From Latin salutaris ""health-giving"", from salus, salut- ""health"".",,Latin
semantic, adjective ," The meaning of a word, phrase, sentence or text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","From French sémantique, from Greek sēmantikos ""significant"", from sēmainein ""to show, signify"", from sēma ""sign"".",,Greek
vexatious, adjective ,"causing or tending to cause annoyance, frustration, or worry.","From Latin vexare ""to shake, disturb, harass"".",,Latin
vicariously, adjective , in a way that is experienced in the imagination through the actions of another person.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"From Latin vicarius ""substitute"", from vicis ""change, alternation"".",,Latin
vicissitude, noun      ," a change of circumstances or fortune, typically one that is unwelcome                                                                                                                                                                                                                                                                              ","From Latin vicissitudo, from vicissim ""by turns"", from vicis ""change"".",,Latin
histrionic, adjective ,overly theatrical or melodramatic in character or style                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin histrionicus ""pertaining to an actor"", from histrio ""actor"".",,Latin
acerbic, adjective , (especially of a comment or style of speaking) sharp and forthright                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"From Latin acerbus ""bitter, harsh, sour"", from acer ""sharp"".",,Latin
bellicose,adjective, Demonstrating aggression and willingness to fight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"From Latin bellicosus, from bellicus ""of war"", from bellum ""war"".",,Latin
atavistic,adjective, Relating to or characterized by reversion to something ancient or ancestral                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"From Latin atavus ""ancestor"", from at- (beyond) + avus ""grandfather"".",,Latin
hegemony,noun,"leadership or dominance, especially by one country or social group over others. ","From Greek hegemonia ""leadership, rule"", from hegemon ""leader"".",,Greek
obdurate,adjective, Stubbornly refusing to change one's opinion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin obduratus ""hardened"", past participle of obdurare ""to harden"".",,Latin
perfidious,adjective, Deceitful and untrustworthy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin perfidiosus, from perfidia ""treachery"", from perfidus ""faithless"", from per- ""through"" + fides ""faith"".",,Latin
turpitude,adjective,depravity; wickedness,"From Latin turpitudo ""baseness"", from turpis ""vile, base, shameful"".",,Latin
inveterate,adjective,"having a particular habit, activity, or interest that is long-established and unlikely to change ","From Latin inveteratus ""of long standing"", past participle of inveterare ""to make old"", from in- ""in"" + vetus ""old"".",,Latin
putative,adjective,generally considered or reputed to be,"From Latin putativus, from putare ""to consider, suppose"".",,Latin
schadenfreude,noun,pleasure derived by someone from another person's misfortune.,"From German Schadenfreude, from Schaden ""harm"" + Freude ""joy"".",,German
rigamarole,noun,an elaborate or complicated procedure ,"Alteration of ragman roll, a document with many seals, later used for a long list or catalog.",,Other
byzantine,adjective,highly complex or intricate and occasionally devious,"From Byzantine, relating to Byzantium (Constantinople), known for complex administration and intrigue.",,Greek
anachronistic,adjective,belonging to a period other than that being portrayed,"From Greek anakhronismos, from ana- ""against"" + khronos ""time"".",,Greek
luddite,noun,a person opposed to new technology or ways of working,"From the Luddites, 19th-century English workers who destroyed machinery that threatened their jobs.",,Other
lambent,adjective,"glowing, gleaming or flickering with a soft radiance","From Latin lambent-’licking’, from the verb lambere",,Latin
sophism,noun,"a clever but false argument, especially one used deliberately to deceive","late Middle English, from Old French sophime, via Latin from Greek sophisma ‘clever device’",,Greek
simulacrum,noun,an image or representation of someone or something,"From Latin simulacrum ""likeness, image"", from simulare ""to copy, represent"".",,Latin
chagrin,noun,annoyance or distress at having failed or been humiliated,"From French chagrin ""melancholy, anxiety"", possibly from Old French graigne ""sadness"".",,French
festoon,verb,"adorn with chains, garlands, or other decorations","From French feston, from Italian festone ""a festoon"", from festa ""feast"".",,French
prurient,adjective,"having or encouraging an excessive interest in sexual matters, especially the sexual activity of others","From Latin prurient- ""itching, longing"", from the verb prurire.",,Latin
turgid,adjective,swollen and distended or congested,"From Latin turgidus ""swollen"", from turgere ""to swell"".",,Latin
penury,noun,Extreme poverty; destitution.,"From Latin penuria ""want, need, scarcity"".",,Latin
pejorative,adjective,Expressing contempt or disapproval.,"From French péjoratif, from Latin pejorare ""to make worse"", from pejor ""worse"".",,Latin
solicitude,noun,Care or concern for someone or something.,"From Latin sollicitudo, from sollicitus ""anxious"", from sollus ""entire"" + citus ""aroused"".",,Latin
supercilious,adjective,Behaving or looking as though one thinks one is superior to others.,"From Latin superciliosus ""haughty"", from supercilium ""eyebrow"" (as raised in arrogance).",,Latin
venal,adjective,Showing or motivated by susceptibility to bribery; corrupt.,"From Latin venalis ""for sale"", from venum ""sale"".",,Latin
convivial,adjective,"Friendly, lively, and enjoyable; (of a person) cheerful and friendly; jovial.","From Latin convivialis, from convivium ""a feast"", from con- ""with"" + vivere ""to live"".",,Latin
contrite,adjective,Feeling or expressing remorse or penitence; affected by guilt.,"From Latin contritus ""worn out, ground down"", from the verb conterere, from con- ""together"" + terere ""to rub"".",,Latin
admonish,verb,Warn or reprimand someone firmly.,"From Latin admonere ""to remind, warn"", from ad- ""to"" + monere ""warn"".",,Latin
assiduous,adjective,"Showing great care, attention, and effort.","From Latin assiduus ""constant"", from assidere ""to sit down to"", from ad- ""to"" + sedere ""to sit"".",,Latin
perdition,noun,A state of eternal punishment and damnation into which a sinful and unpenitent person passes after death.,"From Latin perditio(n-), from perdere ""to destroy"", from per- ""completely"" + dare ""to give"".",,Latin
avuncular,adjective,Relating to an uncle; kind and friendly toward a younger or less experienced person.,"From Latin avunculus ""maternal uncle"", diminutive of avus ""grandfather"".",,Latin
myopic,adjective,lacking foresight or intellectual insight,"From Greek myōpia, from myōps ""short-sighted"", from myein ""to shut"" + ōps ""eye"".",,Greek
recondite,adjective,(of a subject or knowledge) little known,"From Latin reconditus ""hidden, concealed"", past participle of recondere, from re- ""back"" + condere ""to put together"".",,Latin
egregious,adjective,Outstandingly bad; shocking.,"From Latin egregius ""outstanding"", from e- ""out of"" + grex, greg- ""flock"".",,Latin
elide,verb,Omit (a sound or syllable) when speaking; join together; merge.,"From Latin elidere ""to strike out"", from e- ""out"" + laedere ""to strike"".",,Latin
indolence,noun,Avoidance of activity or exertion; laziness.,"From Latin indolentia ""freedom from pain"", from in- ""not"" + dolere ""suffer pain"".",,Latin
dilettante,noun,A person who cultivates an area of interest without real commitment or knowledge.,"From Italian dilettante ""lover of the arts"", from dilettare ""to delight"", from Latin delectare.",,Italian
chauvinist,noun,A person displaying aggressive or exaggerated patriotism; a person displaying excessive or prejudiced support for their own cause or group.,"From French chauvinisme, named after Nicolas Chauvin, a legendary French soldier and patriot.",,French
jingoism,noun,"Extreme patriotism, especially in the form of aggressive or warlike foreign policy.","From jingo, a word used in a popular song supporting British policy during the Russo-Turkish War (1877–78).",,Other
asperity,noun,Harshness of tone or manner; severity of character or attitude.,"From Latin asperitas, from asper ""rough"".",,Latin
prosaic,adjective,Having the style or diction of prose; lacking poetic beauty; commonplace; unromantic.,"From Latin prosaicus, from prosa ""prose"".",,Latin
apotheosis,noun,The elevation of someone to divine status; the highest point in the development of something; culmination or climax.,"From Greek apotheōsis ""deification"", from apotheoun ""deify"", from apo- ""completely"" + theos ""god"".",,Greek
ambivalent,adjective,Having mixed feelings or contradictory ideas about something or someone.,"From Latin ambi- ""both"" + valentia ""strength"", from valere ""be strong"".",,Latin
beguiling,adjective,"Charming or enchanting, often in a deceptive way.","From Middle Dutch begīlen ""to deceive"".",,Dutch
treacle,noun,"A thick, sticky dark syrup made from partly refined sugar; cloying sentimentality or flattery.","From Middle English triacle ""antidote"", via Old French from Latin theriaca, from Greek thēriakē ""antidote against a poisonous bite"".",,Greek
sardonic,adjective,Grimly mocking or cynical.,"From French sardonique, from Latin sardonius, from Greek sardonios, possibly from a plant from Sardinia which was said to produce facial convulsions resembling a grin.",,Greek
peremptory,adjective,"Insisting on immediate attention or obedience, especially in a brusquely imperious way.","From Latin peremptorius ""deadly, decisive"", from perempt- ""destroyed"", from the verb perimere, from per- ""completely"" + emere ""take, buy"".",,Latin
lugubrious,adjective,Looking or sounding sad and dismal.,"From Latin lugubris ""mournful"", from lugere ""to mourn"".",,Latin
patois,noun,A regional dialect of a language; jargon or cant.,"From French, literally ""rough speech"", from Old French patoier ""to handle clumsily"", from pate ""paw"".",,French
sartorial,adjective,"Relating to tailoring, clothes, or style of dress.","From Latin sartor ""tailor"", from sarcire ""to patch, mend"".",,Latin
temerity,noun,Excessive confidence or boldness; audacity.,"From Latin temeritas, from temere ""rashly"".",,Latin
antebellum,adjective,"Occurring or existing before a particular war, especially the American Civil War.","From Latin ante ""before"" + bellum ""war"".",,Latin
orotund,adjective,"(Of the voice or speech) full, round, and imposing; pompous.","From Latin ore rotundo ""with round mouth"", from os, or- ""mouth"" + rotundus ""round"".",,Latin
aegis,noun,"The protection, backing, or support of a particular person or organization.","From Greek aigis, the shield of Zeus or Athena.",,Greek
indomitable,adjective,Impossible to subdue or defeat.,"From Latin indomitabilis, from in- ""not"" + domitare ""to tame"".",,Latin
equivocation,noun,The use of ambiguous language to conceal the truth or to avoid committing oneself; prevarication.,"From Late Latin aequivocationem, from aequivocus ""ambiguous"", from aequus ""equal"" + vocare ""to call"".",,Latin
forbearance,noun,Patient self-control; restraint and tolerance.,"From Old English forberan ""to bear, endure"", from for- + beran ""to bear"".",,Old English
gravid,adjective,Pregnant; full of meaning or a specified quality.,"From Latin gravidus ""pregnant"", from gravis ""heavy"".",,Latin
feckless,adjective,Lacking initiative or strength of character; irresponsible.,"From Scottish feck ""effect, value"", from Middle English fek, shortened from effect + -less.",,Scottish
esoteric,adjective,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,"From Greek esōterikos ""belonging to an inner circle"", from esōterō ""more within"", comparative of esō ""within"".",,Greek
sidle,verb,"Walk in a furtive, unobtrusive, or timid manner, especially sideways or obliquely.",From side + -le (frequentative suffix).,,Other
depredation,noun,An act of attacking or plundering.,"From Latin depraedatio(n-), from the verb depraedari, from de- ""completely"" + praedari ""plunder"".",,Latin
astringent,adjective,"Causing the contraction of body tissues, typically of the skin; severe or stern in manner.","From Latin astringent- ""binding"", from the verb astringere, from ad- ""to"" + stringere ""to bind"".",,Latin
stolid,adjective,"Calm, dependable, and showing little emotion or animation.","From Latin stolidus ""dull, slow"".",,Latin
goad,verb,Provoke or annoy (someone) so as to stimulate some action or reaction.,"From Old English gad ""a spike"", of Germanic origin.",,Old English
diffident,adjective,Modest or shy because of a lack of self-confidence.,"From Latin diffident- ""lacking confidence"", from the verb diffidere, from dis- ""away"" + fidere ""to trust"".",,Latin
adventitious,adjective,Coming from outside; not native; associated by chance rather than design.,"From Latin adventicius ""coming from abroad"", from adventus, past participle of advenire ""to come to"".",,Latin
lassitude,noun,A state of physical or mental weariness; lack of energy.,"From Latin lassitudo, from lassus ""tired"".",,Latin
evanescent,adjective,"Soon passing out of sight, memory, or existence; quickly fading or disappearing.","From Latin evanescent- ""disappearing"", from the verb evanescere, from e- ""out of"" + vanescere ""vanish"".",,Latin
ostentatious,adjective,Characterized by vulgar or pretentious display; designed to impress or attract notice.,"From French ostentatieux, from Latin ostentatio(n-) ""display"", from the verb ostentare, frequentative of ostendere ""to show"".",,Latin
ribald,adjective,Referring to sexual matters in an amusingly rude or irreverent way.,"From Old French ribauld ""rogue, rascal"", from riber ""to be wanton"", of Germanic origin.",,French
arable,adjective,(Of land) used or suitable for growing crops.,"From Latin arabilis, from arare ""to plow"".",,Latin
parochial,adjective,Having a limited or narrow outlook or scope; relating to a church parish.,"From Late Latin parochialis, from parochia ""parish"", from Greek paroikia ""dwelling beside or near"".",,Greek
eponymous,adjective,"Giving one's name to a person, place, or thing.","From Greek epōnumos ""given as a name, giving one's name to someone or something"", from epi ""upon"" + onoma ""name"".",,Greek
bilk,verb,Cheat or defraud (someone).,"Perhaps from Old English *bilican ""to deceive"", or from the card game of cribbage, where it meant ""to spoil someone's score"".",,Old English
gestalt,noun,"A structure, arrangement, or pattern of physical, biological, or psychological phenomena so integrated as to constitute a functional unit with properties not derivable by summation of its parts.","From German Gestalt ""shape, form"".",,German
pastiche,noun,"An artistic work in a style that imitates that of another work, artist, or period.","From French, from Italian pasticcio, from pasta ""paste"".",,French
inscrutable,adjective,Impossible to understand or interpret.,"From Latin inscrutabilis, from in- ""not"" + scrutari ""to examine"".",,Latin
verisimilitude,noun,The appearance of being true or real.,"From Latin verisimilitudo, from verisimilis ""probable"", from veri (genitive of verus ""true"") + similis ""like"".",,Latin
