word,Seed,form,definition,definition_2,etymology,example,origin
anathema,Exotic,noun,"Something or someone that one vehemently dislikes; a formal curse by a pope or a council of the Church, excommunicating a person or denouncing a doctrine.","A formal ecclesiastical ban, curse, or excommunication.","From Greek anathema ""a thing devoted"", in later Greek ""a thing accursed"".",His liberal views were anathema to the conservative community.,Greek
antebellum,Exotic,adjective,"Occurring or existing before a particular war, especially the American Civil War.","Belonging to the period before a war, especially the American Civil War.","From Latin ante ""before"" + bellum ""war"".",The antebellum mansion had been preserved as a historical monument.,Latin
antecedent,Rare,,A thing or event that existed before or logically precedes another.,,"From Latin antecedentem 'going before', from antecedere, from ante 'before' + cedere 'to go'.",,Latin
antediluvian,Exotic,adjective,Ridiculously old-fashioned; of or belonging to the time before the biblical Flood.,So old or old-fashioned as to appear to belong to a former age,From Latin ante ‘before’ + diluvium ‘flood’.,He still uses antediluvian methods in his research.,Latin
antipathy,Rare,noun,A deep-seated feeling of dislike; aversion.,,"From Greek antipatheia, from anti- ""against"" + pathos ""feeling"".",She felt an instinctive antipathy toward her mother's new boyfriend.,Greek
aphorism,Rare, noun      ,"a pithy observation that contains a general truth, such as, “if it ain't broke, don't fix it.”.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",A pithy observation that contains a general truth.,"From Greek aphorismos ""definition, pithy sentence"", from aphorizein ""to mark off, divide"".",Benjamin Franklin's aphorisms continue to be quoted centuries later.,Greek
aplomb,Rare,noun,"Self-confidence or assurance, especially when in a demanding situation.",,"From French à plomb ""according to a plumb line"", from à ""to"" + plomb ""lead weight"".","She handled the crisis with remarkable aplomb, never losing her composure.",French
apocryphal,Rare,adjective,"(Of a story or statement) of doubtful authenticity, although widely circulated as being true.",Being of questionable authenticity,From Greek apokruphos ‘hidden’.,The story of the haunted house is probably apocryphal.,Greek
aporia,Exotic, noun      ,"An irresolvable internal contradiction or logical disjunction in a text, argument, or theory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",A logical impasse or contradiction; a puzzle without a clear solution.,"From Greek aporia ""difficulty, perplexity"", from aporos ""impassable"", from a- ""without"" + poros ""passage"".",The philosophical aporia left the students in a state of puzzlement.,Greek
apotheosis,Rare,noun,The elevation of someone to divine status; the highest point in the development of something; culmination or climax.,The highest point in the development of something; culmination or climax.,"From Greek apotheōsis ""deification"", from apotheoun ""deify"", from apo- ""completely"" + theos ""god"".",The championship victory represented the apotheosis of his career.,Greek
apparition,Rare,,A ghost or ghostlike image of a person.,,"From Latin apparitio(n-), from apparere 'appear'.",,Latin
arable,Rare,adjective,(Of land) used or suitable for growing crops.,Suitable for growing crops.,"From Latin arabilis, from arare ""to plow"".",The region's arable land produced abundant crops.,Latin
ardor,Rare,,Enthusiasm or passion.,,"From Latin ardor 'heat, enthusiasm', from ardere 'to burn'.",,Latin
articulate,Uncommon,,Having or showing the ability to speak fluently and coherently.,,,,
asperity,Exotic,noun,Harshness of tone or manner; severity of character or attitude.,Roughness of manner; harshness of temper,"From Latin asperitas, from asper ""rough"".",He responded with asperity to the criticism of his work.,Latin
assiduous,Exotic,adjective,"Showing great care, attention, and effort.",Marked by careful unremitting attention or persistent application.,"From Latin assiduus ""constant"", from assidere ""to sit down to"", from ad- ""to"" + sedere ""to sit"".",Her assiduous study habits earned her top marks in the class.,Latin
astringent,Rare,adjective,"Causing the contraction of body tissues, typically of the skin; severe or stern in manner.","Causing the contraction of body tissues, typically of the skin.","From Latin astringent- ""binding"", from the verb astringere, from ad- ""to"" + stringere ""to bind"".",The astringent lotion helped clear up his skin condition.,Latin
atavistic,Rare,adjective, Relating to or characterized by reversion to something ancient or ancestral                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Relating to or characterized by reversion to something ancient or ancestral.,"From Latin atavus ""ancestor"", from at- (beyond) + avus ""grandfather"".",The riot revealed atavistic impulses normally suppressed by civilization.,Latin
audacity,Uncommon,,A willingness to take bold risks.,,"From Latin audacitas, from audax 'bold', from audere 'dare'.",,Latin
auspicious,Rare,adjective,Conducive to success; favorable.,,"From Latin auspicium ""divination by observing birds"", from auspex ""bird seer"".",The project had an auspicious beginning with strong initial funding.,Latin
austere,Rare,adjective,"Severe or strict in manner, attitude, or appearance; having no comforts or luxuries; harsh or ascetic.","Severe or strict in manner, attitude, or appearance.","From Latin austerus, from Greek austēros ""harsh, severe"".",The monastery's austere furnishings reflected the monks' vow of poverty.,Greek
avuncular,Exotic,adjective,kind and friendly toward a younger or less experienced person.,Suggestive of an uncle's kindness or indulgence toward a younger person.,"From Latin avunculus ""maternal uncle"", diminutive of avus ""grandfather"".",The older colleague offered avuncular advice to the new employees.,Latin
balk,Rare,,Hesitate or be unwilling to accept an idea or undertaking.,,"From Old English balca 'ridge, bank'.",,Old English
bask,Uncommon,verb,"Lie exposed to warmth and light, typically from the sun.","Lie exposed to warmth and light, typically from the sun, for relaxation and pleasure.",Old Norse bask 'to bathe.',The lizard basked in the sun.,Other
bastion,Rare,,"A projecting part of a fortification built at an angle to the line of a wall, so as to allow defensive fire in several directions.",,"From French bastion, from Italian bastione, from bastire 'to build'.",,French/Italian
beatific,Rare,adjective,Showing or producing exalted joy or blessedness.,,"From Latin beatificus, from beatus ""blessed"" + -ficus ""-making"".",The saint wore a beatific smile as she greeted her followers.,Latin
beguiling,Rare,adjective,"Charming or enchanting, often in a deceptive way.",,"From Middle Dutch begīlen ""to deceive"".",The beguiling melody attracted listeners from across the park.,Dutch
bellicose,Rare,adjective, Demonstrating aggression and willingness to fight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Demonstrating aggression and willingness to fight.,"From Latin bellicosus, from bellicus ""of war"", from bellum ""war"".",The bellicose rhetoric from both countries raised fears of war.,Latin
benevolent,Uncommon,,Well meaning and kindly.,,"From Latin benevolent- 'well wishing', from bene 'well' + volent- 'wishing', from the verb velle.",,Latin
bequeath,Rare,,Leave (property) to a person or other beneficiary by a will.,,,,
bereft,Rare,adjective,"Deprived of or lacking something, especially a non-material asset.",,"Past participle of bereave, from Old English bereafian, from be- + reafian ""to rob, plunder"".","After his wife's death, he felt bereft of purpose.",Old English
bifurcate,Exotic,verb,Divide into two branches or forks.,To divide into two branches or parts.,"From late Latin bifurcatus, past participle of bifurcare, from bi- ""two"" + furca ""fork"".","The path would bifurcate at the old oak tree, leading to different villages.",Latin
bilious,Exotic,adjective,"spiteful, bad-tempered",Affected by or associated with nausea or vomiting,"From Latin biliosus, from bilis ""bile"". Originally referred to an excess of bile, thought to cause irritability.",His bilious temperament made him difficult to work with.,Latin
bilk,Rare,verb,Cheat or defraud (someone).,To cheat or defraud.,"Perhaps from Old English *bilican ""to deceive"", or from the card game of cribbage, where it meant ""to spoil someone's score"".",The con artist tried to bilk elderly victims out of their savings.,Old English
bivouac,Rare,,"A temporary camp without tents or cover, used especially by soldiers or mountaineers.",,,,
blandishment,Exotic,noun,A flattering or pleasing statement or action used to persuade someone gently to do something.,Speech or action that flatters and tends to coax,"From French blandissement, from blandir ‘to flatter’.",She used every blandishment to get her way.,French
blithe,Exotic,adjective,Showing a casual and cheerful indifference considered to be callous or improper; happy or joyous.,Showing a casual and cheerful indifference considered to be callous or improper.,"From Old English bliþe ""joyful, kind, gentle, pleasant"", of Germanic origin.",She remained blithe about the potential dangers of the expedition.,Old English
bloom,Uncommon,verb,Produce flowers; be in flower.,"A flower, especially one cultivated for its beauty.",Old Norse blóm 'flower.',The cherry trees bloom in April.,Other
bombastic,Rare,adjective,High-sounding but with little meaning; inflated.,,From Middle French bombaste ‘cotton padding’.,His bombastic rhetoric concealed his lack of ideas.,French
brisk,Uncommon,adjective,"Active, fast, and energetic.",,"Origin unknown, perhaps imitative.",She took a brisk walk in the park.,Other
byzantine,Rare,adjective,highly complex or intricate and occasionally devious,"Excessively complicated, typically involving a great deal of administrative detail.","From Byzantine, relating to Byzantium (Constantinople), known for complex administration and intrigue.",The tax code's byzantine complexity confuses even experts.,Greek
cacophony,Rare,noun,"A harsh, discordant mixture of sounds.",,"From Greek kakophōnia, from kakos ‘bad’ + phōnē ‘voice’.",A cacophony of car horns filled the air.,Greek
cajole,Rare,verb,Persuade (someone) to do something by sustained coaxing or flattery.,,"From French cajoler, perhaps from Picard ""to chatter like a jay"", from gajole ""cage"".",She had to cajole her reluctant child into trying new foods.,French
capitulate,Rare,verb,Cease to resist an opponent or an unwelcome demand; surrender.,To surrender under agreed conditions.,"From Latin capitulatus, from capitulum ‘chapter, heading’.",The enemy was forced to capitulate unconditionally.,Latin
carouse,Rare,,"Drink plentiful amounts of alcohol and enjoy oneself with others in a noisy, lively way.",,"From German gar aus 'right out', used as a drinking toast.",,German
cataract,Rare,,A large waterfall.,,,,
cavort,Rare,verb,Jump or dance around excitedly.,,"Perhaps from curvet, from Italian corvetta ""a leap"", from Latin curvus ""curved"".",Children cavorted in the spray from the fountain.,Other
chagrin,Rare,noun,annoyance or distress at having failed or been humiliated,Annoyance or distress at having failed or been humiliated.,"From French chagrin ""melancholy, anxiety"", possibly from Old French graigne ""sadness"".","To his chagrin, his presentation was interrupted by technical difficulties.",French
chastity,Rare,,"The state or practice of refraining from extramarital, or especially from all, sexual intercourse.",,,,
chauvinist,Rare,noun,A person displaying aggressive or exaggerated patriotism; a person displaying excessive or prejudiced support for their own cause or group.,A person displaying aggressive or exaggerated patriotism.,"From French chauvinisme, named after Nicolas Chauvin, a legendary French soldier and patriot.",The chauvinist believed his country superior to all others.,French
chromatic,Rare,,Relating to or produced by color.,,"From Greek khrōmatikos, from khrōma 'color'.",,Greek
circumscribe,Rare,verb,Restrict (something) within limits.,To draw a line around; to encircle completely,"From Latin circumscribere, from circum ‘around’ + scribere ‘write’.",The rules circumscribe the powers of the committee.,Latin
clutch,Uncommon,verb,Grasp or seize (something) tightly or eagerly.,A tight grasp.,Old English clyccan 'to clench.',She clutched her bag tightly.,Old English
cogent,Exotic,adjective,"(Of an argument or case) clear, logical, and convincing.",Appealing forcibly to the mind or reason; convincing.,"From Latin cogent-, from cogere ‘drive together’.",She presented a cogent argument for the new policy.,Latin
cogitate,Rare,verb,"Think deeply about something, meditate or reflect",To think deeply about something; meditate or reflect.,"From Latin cogitatus, past participle of cogitare ""to think"", from co- ""together"" + agitare ""to turn over, consider"".",The philosopher would cogitate for hours on ethical dilemmas.,Latin
commensurate,Rare,adjective,Corresponding in size or degree; in proportion.,,"From Latin commensuratus, from com- ""together"" + mensuratus ""measured"".",The salary was commensurate with his experience and qualifications.,Latin
compunction,Rare,noun,A feeling of guilt or moral scruple that prevents or follows the doing of something bad.,,"From Latin compunctio(n-), from the verb compungere, from com- ""together"" + pungere ""to prick"".",The thief showed no compunction about stealing from the elderly.,Latin
conjoint,Rare,,Joined together; joint.,,"From French conjoint 'united', from Latin conjunctus, past participle of conjungere 'to join together'.",,French/Latin
consolation,Uncommon,,The comfort received by a person after a loss or disappointment.,,"From Latin consolatio(n-), from consolari 'to comfort'.",,Latin
contrite,Exotic,adjective,Feeling or expressing remorse or penitence; affected by guilt.,,"From Latin contritus ""worn out, ground down"", from the verb conterere, from con- ""together"" + terere ""to rub"".",The contrite child apologized for breaking the vase.,Latin
convivial,Rare,adjective,"Friendly, lively, and enjoyable; (of a person) cheerful and friendly; jovial.","Friendly, lively, and enjoyable.","From Latin convivialis, from convivium ""a feast"", from con- ""with"" + vivere ""to live"".",The convivial atmosphere at the party put everyone at ease.,Latin
copious,Uncommon,,Abundant in supply or quantity.,,"From Latin copiosus, from copia 'plenty'.",,Latin
copulate,Rare,,Have sexual intercourse.,,,,
cosmopolitan,Rare,,Familiar with and at ease in many different countries and cultures.,,"From Greek kosmopolitēs 'citizen of the world', from kosmos 'world' + politēs 'citizen'.",,Greek
creed,Rare,,A system of Christian or other religious belief; a faith.,,From Latin credo 'I believe'.,,Latin
cusp,Rare,,A pointed end where two curves meet.,,"From Latin cuspis 'point, apex'.",,Latin
daguerreotype,Exotic,,A photograph taken by an early photographic process employing an iodine-sensitized silvered plate and mercury vapor.,,"Named after Louis Daguerre (1787–1851), French pioneer of photography.",,French
dandy,Uncommon,adjective,Excellent; first-rate.,"A man unduly devoted to style, neatness, and fashion in dress and appearance.","Origin unknown, perhaps from French.",He looked dandy in his new suit.,French
dazzle,Uncommon,verb,Blind (a person) temporarily.,Brightness that blinds someone temporarily.,From Old French daseler 'to daze.',The bright lights dazzled the audience.,French
deign,Rare,verb,Do something that one considers to be beneath one's dignity.,,"From Old French deignier, from Latin dignari ""to consider worthy"", from dignus ""worthy"".",The celebrity wouldn't deign to speak to ordinary fans.,Latin
deleterious,Rare,adjective,Causing harm or damage.,,From Greek dēlētērios ‘noxious’.,Divorce is assumed to have deleterious effects on children.,Greek
demagogue,Rare,noun,A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument.,A leader who makes use of popular prejudices and false claims and promises,"From Greek dēmagōgos, from dēmos ‘people’ + agōgos ‘leading’.",The demagogue stirred up the crowd with fiery rhetoric.,Greek
demure,Exotic,,"Reserved, modest, and shy.",,"From Old French demoure 'settled, serious, grave', past participle of demourer 'to stay', from Latin demorari.",,French/Latin
depredation,Rare,noun,An act of attacking or plundering.,,"From Latin depraedatio(n-), from the verb depraedari, from de- ""completely"" + praedari ""plunder"".",Farmers complained about the depredations of wild boars on their crops.,Latin
diaphanous,Exotic,adjective,"(Especially of fabric) light, delicate, and translucent.",So fine in texture as to allow light to pass through.,"From medieval Latin diaphanus, from Greek diaphanēs ""transparent"", from dia ""through"" + phainein ""to show"".",She wore a diaphanous gown that caught the evening light.,Greek
diastole,Exotic,,The phase of the heart's cycle during which the heart muscle relaxes and allows the chambers to fill with blood.,,"From Greek diastolē 'dilatation', from diastellein 'to expand'.",,Greek
didactic,Rare,adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.",,"From Greek didaktikos, from didaskein ‘to teach’.",The novel had a didactic purpose.,Greek
diffident,Rare,adjective,Modest or shy because of a lack of self-confidence.,,"From Latin diffident- ""lacking confidence"", from the verb diffidere, from dis- ""away"" + fidere ""to trust"".",The diffident student rarely spoke up in class despite knowing the answers.,Latin
dilettante,Rare,noun,A person who cultivates an area of interest without real commitment or knowledge.,,"From Italian dilettante ""lover of the arts"", from dilettare ""to delight"", from Latin delectare.","Though a dilettante in music, he spoke as if he were an expert.",Italian
diligent,Uncommon,,Having or showing care and conscientiousness in one's work or duties.,,"From Latin diligent- 'assiduous', from the verb diligere, from di- 'apart' + legere 'choose'.",,Latin
dissemble,Exotic,verb,Conceal or disguise one's true feelings or beliefs.,"To conceal one's true motives, feelings, or beliefs.","From Latin dissimulare ""to disguise or conceal"", from dis- ""apart"" + simulare ""to copy, represent"".",The politician tried to dissemble when questioned about the scandal.,Latin
dissuade,Rare,,Persuade (someone) not to take a particular course of action.,,,,
duress,Rare,noun,"Threats, violence, constraints, or other action brought to bear on someone to do something against their will or better judgment.",,"From Old French duresse, from Latin duritia ""hardness"", from durus ""hard"".",He signed the confession under duress after hours of interrogation.,Latin
dusk,Uncommon,noun,The darker stage of twilight.,,Old English dox 'dark.',The streetlights flickered on at dusk.,Old English
dwell,Uncommon,verb,Live in or at a specified place.,,"Old English dwellan 'lead astray, hinder.'",They dwell in a small cottage by the sea.,Old English
eager,Uncommon,adjective,Strongly wanting to do or have something.,Wanting to do or have something very much.,Old English eagor 'sharp.',The children were eager for the trip.,Old English
ebullient,Exotic,adjective,Cheerful and full of energy.,Bubbling with enthusiasm or excitement,"From Latin ebullient-, from ebullire ‘bubble out’.",She was ebullient about her new job.,Latin
eclectic,Rare,adjective,"Deriving ideas, style, or taste from a broad and diverse range of sources.",,"From Greek eklektikos, from eklektos ""selected"", from eklegein ""to select"", from ek ""out"" + legein ""to choose"".",Her eclectic taste in music ranged from classical to heavy metal.,Greek
edifice,Rare,,"A large, imposing building.",,"From Latin aedificium, from aedificare 'build', from aedes 'dwelling' + facere 'make'.",,Latin
effrontery,Rare,noun,Insolent or impertinent behavior.,,"From French effronterie, from effronté ‘shameless’.",He had the effrontery to challenge the decision.,French
egregious,Rare,adjective,Outstandingly bad; shocking.,,"From Latin egregius ""outstanding"", from e- ""out of"" + grex, greg- ""flock"".",The referee made an egregious error that changed the outcome of the game.,Latin
elbow,Uncommon,noun,The joint between the forearm and the upper arm.,,Old English elnboga 'elbow.',He leaned on his elbow.,Old English
elide,Exotic,verb,Omit (a sound or syllable) when speaking; join together; merge.,To omit or strike out (a sound or syllable) in pronunciation,"From Latin elidere ""to strike out"", from e- ""out"" + laedere ""to strike"".",The speaker tended to elide the difficult parts of the historical narrative.,Latin
enervate,Rare,verb,To cause (someone) to feel drained of energy; weaken.,To cause weakness or a feeling of exhaustion.,"From Latin enervatus, from e- (variant of ex-) ‘out of’ + nervus ‘sinew’.",The hot sun enervated her to the point of collapse.,Latin
enmity,Rare,noun,The state or feeling of being actively opposed or hostile to someone or something.,A state or feeling of active opposition or hostility.,"From Old French enemite, from Latin inimicitas, from inimicus ""enemy"".",Decades of enmity between the families made reconciliation difficult.,Latin
ephemeral,Rare,adjective,Lasting for a very short time.,Lasting only one day (especially of insects or flowers),From Greek ephēmeros ‘lasting only a day’.,Fame in the world of pop music can be ephemeral.,Greek
eponymous,Rare,adjective,"Giving one's name to a person, place, or thing.","Giving one's name to a tribe, place, or institution.","From Greek epōnumos ""given as a name, giving one's name to someone or something"", from epi ""upon"" + onoma ""name"".",The eponymous character in the novel appears only in the final chapter.,Greek
equanimity,Rare,noun,"Mental calmness, composure, and evenness of temper, especially in a difficult situation.",The quality of being calm and even-tempered,"From Latin aequanimitas, from aequus ‘equal’ + animus ‘mind’.",She accepted the bad news with remarkable equanimity.,Latin
equivocal,Rare,adjective,Open to more than one interpretation; ambiguous.,,"From late Latin aequivocus, from aequi- ""equally"" + vocare ""to call"".",His equivocal response left them uncertain about his position.,Latin
equivocation,Rare,noun,The use of ambiguous language to conceal the truth or to avoid committing oneself; prevarication.,The use of ambiguous language to conceal the truth or to avoid committing oneself.,"From Late Latin aequivocationem, from aequivocus ""ambiguous"", from aequus ""equal"" + vocare ""to call"".",The politician's equivocation on the issue frustrated voters seeking clarity.,Latin
esoteric,Rare,adjective,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,,"From Greek esōterikos ""belonging to an inner circle"", from esōterō ""more within"", comparative of esō ""within"".",The lecture on esoteric philosophical concepts attracted few students.,Greek
eunoia,Exotic,,Beautiful thinking; a well mind.,,"From Greek eunoia 'well mind' or 'beautiful thinking', from eu 'well' + nous 'mind'.",,Greek
evanescent,Rare,adjective,"Soon passing out of sight, memory, or existence; quickly fading or disappearing.",,"From Latin evanescent- ""disappearing"", from the verb evanescere, from e- ""out of"" + vanescere ""vanish"".",The evanescent beauty of the sunset lasted only minutes.,Latin
excursion,Uncommon,,"A short journey or trip, especially one engaged in as a leisure activity.",,"From Latin excursio(n-), from excurrere 'run out', from ex- 'out' + currere 'to run'.",,Latin
execrable,Exotic,adjective,Extremely bad or unpleasant.,Deserving to be denounced as evil or abhorrent.,"From Latin execrabilis, from execrari ""to curse"", from ex- ""out"" + sacrare ""to consecrate"".",The critic described the performance as execrable in every respect.,Latin
exquisite,Uncommon,,"Extremely beautiful and, typically, delicate.",,,,
extol,Rare,verb,Praise enthusiastically.,,"From Latin extollere ""to raise up, elevate"", from ex- ""up"" + tollere ""to raise"".",The biography extolled the virtues of the humanitarian.,Latin
fable,Uncommon,noun,"A short story, typically with animals as characters, conveying a moral.",,From Latin fabula 'story.',The tortoise and the hare is a famous fable.,Latin
facile,Rare,adjective,(Especially of a theory or argument) appearing neat and comprehensive only by ignoring the true complexities of an issue; superficial.,Ignoring the true complexities of an issue; superficial.,"From Latin facilis ""easy"", from facere ""to make"".",He offered facile solutions that ignored the complexity of the problems.,Latin
fain,Rare,,Pleased or willing under the circumstances.,,From Old English fægen 'glad'.,,Old English
falter,Uncommon,,Move unsteadily or in a way that shows a lack of confidence.,,Perhaps from a Scandinavian source; compare Old Norse faltrast 'be encumbered'.,,Scandinavian
fancy,Uncommon,verb,Feel a desire or liking for.,Elaborate in structure or decoration.,From Old French fantasie 'imagination.',Do you fancy a cup of tea?,French
fastidious,Rare,adjective,Very attentive to and concerned about accuracy and detail.,"Reflecting a meticulous, sensitive, or demanding nature","From Latin fastidiosus, from fastidium ‘loathing’.",He chooses his words with fastidious care.,Latin
fathomless,Uncommon,,Too deep to be measured.,,From fathom (Old English fæthm 'outstretched arms') + -less.,,Old English
fatuous,Exotic,adjective,Silly and pointless.,Foolishly vacant or stupid,From Latin fatuus ‘foolish’.,Don't badger people with fatuous questions.,Latin
feckless,Rare,adjective,Lacking initiative or strength of character; irresponsible.,,"From Scottish feck ""effect, value"", from Middle English fek, shortened from effect + -less.",The feckless management team failed to address the company's problems.,Scottish
festoon,Rare,verb,"adorn with chains, garlands, or other decorations","A chain or garland of flowers, leaves, or ribbons, hung in a curve as a decoration.","From French feston, from Italian festone ""a festoon"", from festa ""feast"".",They festooned the hall with garlands for the wedding celebration.,French
flaunt,Rare,,"Display (something) ostentatiously, especially in order to provoke envy or admiration or to show defiance.",,"Origin uncertain, perhaps from Scandinavian, compare Norwegian flanta 'to show off'.",,Scandinavian
flicker,Uncommon,verb,Shine unsteadily; vary rapidly in brightness.,An unsteady movement of a flame or light that causes rapid variations in brightness.,Old English flicorian 'to flutter.',The candlelight flickered in the breeze.,Old English
fluke,Uncommon,,"An unlikely chance occurrence, especially a surprising piece of luck.",,"Origin uncertain, possibly from Middle English fluke 'flatfish'.",,Middle English
forbearance,Rare,noun,Patient self-control; restraint and tolerance.,,"From Old English forberan ""to bear, endure"", from for- + beran ""to bear"".",The teacher showed remarkable forbearance when faced with disruptive students.,Old English
fret,Uncommon,verb,Be constantly or visibly worried or anxious.,,Old English fretan 'devour.',Don't fret; everything will be fine.,Old English
frivolous,Uncommon,,Not having any serious purpose or value.,,"From Latin frivolus 'silly, empty, trifling'.",,Latin
froth,Uncommon,,"A mass of small bubbles in liquid caused by agitation, fermentation, or salivating.",,"From Old Norse froða 'froth, foam'.",,Old Norse
futile,Uncommon,,Incapable of producing any useful result; pointless.,,"From Latin futilis 'leaky, vain, worthless', from fundere 'pour'.",,Latin
garrulous,Rare,adjective,"Excessively talkative, especially on trivial matters.",Given to excessive and often trivial or rambling talk,"From Latin garrulus, from garrire ‘to chatter’.",The garrulous host kept the guests entertained all night.,Latin
genuflect,Exotic,verb,"Lower one's body briefly by bending one knee to the ground, typically in worship or as a sign of respect; show deference or servility.","To bend in deference or respect, especially toward authority.","From Latin genuflectere, from genu ""knee"" + flectere ""to bend"".",Visitors to the cathedral would genuflect before the altar.,Latin
gestalt,Exotic,noun,An organized whole that is perceived as more than the sum of its parts.,"A structure, arrangement, or pattern of physical, biological, or psychological phenomena.","From German Gestalt ""shape, form"".",The therapist focused on the gestalt of the patient's experiences rather than isolated incidents.,German
gleam,Uncommon,verb,"Shine brightly, especially with reflected light.",A flash or beam of light.,"Old English glǣm 'brightness, splendor.'",A gleam of sunlight broke through the clouds.,Old English
glean,Uncommon,verb,Collect gradually and bit by bit.,Gather information or material bit by bit.,"From Old French glener, from Latin glennare 'make a collection.'",She gleaned information from various sources.,French
glee,Uncommon,noun,Great delight.,,"Old English gléo 'entertainment, music.'",She clapped her hands in glee.,Old English
glimpse,Uncommon,verb,See or perceive briefly or partially.,A momentary or partial view.,From Middle English glimsen 'to shine faintly.',She glimpsed a deer in the woods.,Other
goad,Rare,verb,Provoke or annoy (someone) so as to stimulate some action or reaction.,A spiked stick used for driving cattle.,"From Old English gad ""a spike"", of Germanic origin.",She used criticism to goad him into working harder.,Old English
gravid,Exotic,adjective,Pregnant; full of meaning or a specified quality.,Carrying developing young or eggs; pregnant.,"From Latin gravidus ""pregnant"", from gravis ""heavy"".",The gravid female fish sought shallow water to lay her eggs.,Latin
gregarious,Rare,adjective,(Of a person) fond of company; sociable.,Fond of company; sociable.,"From Latin gregarius, from grex ‘flock’.",He was a popular and gregarious man.,Latin
grotto,Rare,,"A small picturesque cave, especially an artificial one in a park or garden.",,"From Italian grotta, via Latin from Greek kruptē 'vault, cavern'.",,Italian/Greek
gulch,Rare,,A narrow and steep-sided ravine marking the course of a fast stream.,,,,
hankering,Rare,,A strong desire to have or do something.,,,,
hapless,Rare,adjective,(Especially of a person) unfortunate.,Having no luck; unfortunate,From Old Norse happ ‘good luck’.,The hapless passengers were stranded at the airport.,Norse
