word,form,definition,etymology,example,origin
quandary,noun,A state of perplexity or uncertainty over what to do in a difficult situation.,"Origin unknown, first recorded in the late 16th century.",She was in a quandary about whether to accept the offer.,Other
abstruse,adjective,Difficult to understand; obscure.,"From Latin abstrusus, past participle of abstrudere ‘conceal’.",The professor's lectures were so abstruse that students avoided his classes.,Latin
enervate,verb,To cause (someone) to feel drained of energy; weaken.,"From Latin enervatus, from e- (variant of ex-) ‘out of’ + nervus ‘sinew’.",The hot sun enervated her to the point of collapse.,Latin
intransigent,adjective,Unwilling or refusing to change one's views or to agree about something.,"From French intransigeant, from Spanish intransigente.",The negotiations broke down due to both sides being intransigent.,French
obdurate,adjective,Stubbornly refusing to change one's opinion or course of action.,"From Latin obduratus, past participle of obdurare ‘harden’.","He remained obdurate, refusing to alter his decision.",Latin
recondite,adjective,(Of a subject or knowledge) little known; abstruse.,"From Latin reconditus ‘hidden, put away’.",The book is full of recondite information.,Latin
salubrious,adjective,Health-giving; healthy.,"From Latin salubris, from salus ‘health’.",They moved to a more salubrious part of town.,Latin
trenchant,adjective,Vigorous or incisive in expression or style.,"From Old French trenchant, from trencher ‘to cut’.",His trenchant remarks cut through the confusion.,French
ubiquitous,adjective,"Present, appearing, or found everywhere.","From modern Latin ubiquitas, from Latin ubique ‘everywhere’.",Smartphones have become ubiquitous in modern society.,Latin
vicissitude,noun,"A change of circumstances or fortune, typically one that is unwelcome or unpleasant.","From Latin vicissitudo, from vicissim ‘by turns’.",He endured the vicissitudes of a turbulent career.,Latin
zephyr,noun,A soft gentle breeze.,"From Greek Zephuros, god of the west wind.",A zephyr cooled the hot summer air.,Greek
apocryphal,adjective,"(Of a story or statement) of doubtful authenticity, although widely circulated as being true.",From Greek apokruphos ‘hidden’.,The story of the haunted house is probably apocryphal.,Greek
cogent,adjective,"(Of an argument or case) clear, logical, and convincing.","From Latin cogent-, from cogere ‘drive together’.",She presented a cogent argument for the new policy.,Latin
demagogue,noun,A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument.,"From Greek dēmagōgos, from dēmos ‘people’ + agōgos ‘leading’.",The demagogue stirred up the crowd with fiery rhetoric.,Greek
efficacious,adjective,Successful in producing a desired or intended result; effective.,"From Latin efficax, efficac- ‘accomplishing’.",The new medicine proved highly efficacious.,Latin
fastidious,adjective,Very attentive to and concerned about accuracy and detail.,"From Latin fastidiosus, from fastidium ‘loathing’.",He chooses his words with fastidious care.,Latin
garrulous,adjective,"Excessively talkative, especially on trivial matters.","From Latin garrulus, from garrire ‘to chatter’.",The garrulous host kept the guests entertained all night.,Latin
harangue,noun,A lengthy and aggressive speech.,"From Italian aringa, from aringare ‘to speak in public’.",He delivered a harangue about the evils of the media.,Italian
iconoclast,noun,A person who attacks cherished beliefs or institutions.,"From Greek eikonoklastēs, from eikōn ‘image’ + klan ‘to break’.",The artist was known as an iconoclast in the art world.,Greek
juxtapose,verb,To place or deal with close together for contrasting effect.,"From French juxtaposer, from Latin juxta ‘next’ + French poser ‘to place’.",The exhibition juxtaposes modern art with classical sculpture.,Latin
kismet,noun,Destiny; fate.,"From Turkish, from Arabic qisma ‘division, portion, fate’.",It was kismet that they met that day.,Arabic
lucid,adjective,Expressed clearly; easy to understand.,"From Latin lucidus, from lucere ‘shine’.",She gave a lucid account of the events.,Latin
munificent,adjective,Larger or more generous than is usual or necessary.,"From Latin munificus, from munus ‘gift’.",The university received a munificent donation.,Latin
nefarious,adjective,(Typically of an action or activity) wicked or criminal.,"From Latin nefarius, from nefas ‘wrong, crime’.",The nefarious activities of the organized-crime syndicates were widely reported.,Latin
obviate,verb,Remove (a need or difficulty).,"From late Latin obviat-, from obviare ‘prevent’.",The new treatment obviates the need for surgery.,Latin
paragon,noun,A person or thing regarded as a perfect example of a particular quality.,"From Old French paragon, from Italian paragone ‘touchstone’.",She is a paragon of virtue.,French
rancor,noun,"Bitterness or resentfulness, especially when long-standing.",From Latin rancor ‘rankness’.,She answered her accusers calmly and without rancor.,Latin
tantamount,adjective,Equivalent in seriousness to; virtually the same as.,From Italian tanto ‘so much’ + ammontare ‘to amount to’.,His silence was tantamount to an admission of guilt.,Italian
venerable,adjective,"Accorded a great deal of respect, especially because of age, wisdom, or character.","From Latin venerabilis, from venerari ‘to revere’.",The venerable professor was admired by all.,Latin
wheedle,verb,To employ endearments or flattery to persuade someone to do something or give one something.,"Of uncertain origin, perhaps from Old English.",She managed to wheedle another piece of cake from her mother.,Old English
xenophile,noun,"An individual who is attracted to foreign peoples, cultures, or customs.",From Greek xenos ‘foreigner’ + philos ‘loving’.,"As a xenophile, he loved traveling to new countries.",Greek
yokel,noun,An uneducated and unsophisticated person from the countryside.,"Of unknown origin, first recorded in the 19th century.",The city folk looked down on the yokel.,Other
zealot,noun,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.","From Greek zēlōtēs, from zēlos ‘zeal’.",He was a zealot for environmental causes.,Greek
abrogate,verb,"To repeal or do away with (a law, right, or formal agreement).","From Latin abrogat-, from abrogare ‘repeal’.",The treaty was abrogated in 1929.,Latin
blandishment,noun,A flattering or pleasing statement or action used to persuade someone gently to do something.,"From French blandissement, from blandir ‘to flatter’.",She used every blandishment to get her way.,French
capitulate,verb,Cease to resist an opponent or an unwelcome demand; surrender.,"From Latin capitulatus, from capitulum ‘chapter, heading’.",The enemy was forced to capitulate unconditionally.,Latin
deleterious,adjective,Causing harm or damage.,From Greek dēlētērios ‘noxious’.,Divorce is assumed to have deleterious effects on children.,Greek
effrontery,noun,Insolent or impertinent behavior.,"From French effronterie, from effronté ‘shameless’.",He had the effrontery to challenge the decision.,French
fortuitous,adjective,Happening by a lucky chance; fortunate.,From Latin fortuitus ‘chance’.,Their meeting was entirely fortuitous.,Latin
grandiloquent,adjective,"Pompous or extravagant in language, style, or manner.","From Latin grandiloquus, from grandis ‘grand’ + loqui ‘speak’.",His grandiloquent speech amused the audience.,Latin
hapless,adjective,(Especially of a person) unfortunate.,From Old Norse happ ‘good luck’.,The hapless passengers were stranded at the airport.,Norse
impecunious,adjective,Having little or no money.,"From Latin impecuniosus, from in- ‘not’ + pecunia ‘money’.",He was a gifted but impecunious painter.,Latin
jettison,verb,To throw or drop (something) from an aircraft or ship.,"From Old French getaison, from Latin jactare ‘to throw’.",The crew jettisoned excess fuel to lighten the plane.,Latin
kaleidoscope,noun,A constantly changing pattern or sequence of objects or elements.,From Greek kalos ‘beautiful’ + eidos ‘form’ + skopein ‘to look at’.,The city lights formed a kaleidoscope of colors.,Greek
legerdemain,noun,Skillful use of one's hands when performing conjuring tricks.,From French léger de main ‘light of hand’.,The magician's legerdemain amazed the audience.,French
misanthrope,noun,A person who dislikes humankind and avoids human society.,"From Greek misanthrōpos, from misein ‘to hate’ + anthrōpos ‘man’.",The old man was a misanthrope who lived alone.,Greek
neophyte,noun,"A person who is new to a subject, skill, or belief.",From Greek neophutos ‘newly planted’.,"As a neophyte, she still had much to learn.",Greek
panacea,noun,A solution or remedy for all difficulties or diseases.,"From Greek panakeia, from pan ‘all’ + akos ‘remedy’.",There is no single panacea for the world's economic problems.,Greek
penchant,noun,A strong or habitual liking for something or tendency to do something.,From French penchant ‘leaning’.,She has a penchant for chocolate.,French
querulous,adjective,Complaining in a petulant or whining manner.,"From Latin querulus, from queri ‘to complain’.",The querulous old woman was never satisfied.,Latin
raconteur,noun,A person who tells anecdotes in a skillful and amusing way.,From French.,She was a brilliant raconteur.,French
surreptitious,adjective,"Kept secret, especially because it would not be approved of.","From Latin surreptitius, from surripere ‘seize secretly’.",They carried on a surreptitious affair.,Latin
tenuous,adjective,Very weak or slight.,From Latin tenuis ‘thin’.,The link between them was tenuous.,Latin
unctuous,adjective,(Of a person) excessively or ingratiatingly flattering; oily.,"From late Latin unctuosus, from unctus ‘anointing’.",He seemed unctuous and insincere.,Latin
winsome,adjective,Attractive or appealing in appearance or character.,"From Old English wynsum, from wynn ‘joy’.",She had a winsome smile.,Old English
adamant,adjective,Refusing to be persuaded or to change one's mind.,From Greek adamas ‘untameable’.,He is adamant that he is not going to resign.,Greek
bombastic,adjective,High-sounding but with little meaning; inflated.,From Middle French bombaste ‘cotton padding’.,His bombastic rhetoric concealed his lack of ideas.,French
cacophony,noun,"A harsh, discordant mixture of sounds.","From Greek kakophōnia, from kakos ‘bad’ + phōnē ‘voice’.",A cacophony of car horns filled the air.,Greek
didactic,adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.","From Greek didaktikos, from didaskein ‘to teach’.",The novel had a didactic purpose.,Greek
ebullient,adjective,Cheerful and full of energy.,"From Latin ebullient-, from ebullire ‘bubble out’.",She was ebullient about her new job.,Latin
fatuous,adjective,Silly and pointless.,From Latin fatuus ‘foolish’.,Don't badger people with fatuous questions.,Latin
gregarious,adjective,(Of a person) fond of company; sociable.,"From Latin gregarius, from grex ‘flock’.",He was a popular and gregarious man.,Latin
histrionic,adjective,Excessively theatrical or dramatic in character or style.,From Latin histrionicus ‘pertaining to actors’.,His histrionic outburst shocked everyone.,Latin
ignominious,adjective,Deserving or causing public disgrace or shame.,"From Latin ignominiosus, from ignominia ‘disgrace’.",It was an ignominious end to his career.,Latin
jejune,adjective,"Naive, simplistic, and superficial.","From Latin jejunus ‘fasting, barren’.",Their poems were jejune and uninspired.,Latin
kowtow,verb,Act in an excessively subservient manner.,From Chinese kētóu ‘knock head’.,He refused to kowtow to the authorities.,Other
lassitude,noun,A state of physical or mental weariness; lack of energy.,"From Latin lassitudo, from lassus ‘weary’.",She was overcome by lassitude after the long journey.,Latin
mendacious,adjective,Not telling the truth; lying.,"From Latin mendax, mendac- ‘lying’.",Mendacious politicians are nothing new.,Latin
nascent,adjective,(Especially of a process or organization) just coming into existence and beginning to display signs of future potential.,"From Latin nascent-, from nasci ‘be born’.",The nascent industry showed great promise.,Latin
ostensible,adjective,"Stated or appearing to be true, but not necessarily so.","From French ostensible, from Latin ostendere ‘to show’.",The ostensible reason for his visit was to see his parents.,Latin
palpable,adjective,(Of a feeling or atmosphere) so intense as to seem almost tangible.,"From late Latin palpabilis, from palpare ‘to feel’.",There was a palpable sense of relief in the room.,Latin
quiescent,adjective,In a state or period of inactivity or dormancy.,"From Latin quiescent-, from quiescere ‘be quiet’.",The volcano had been quiescent for centuries.,Latin
redolent,adjective,Strongly reminiscent or suggestive of (something).,"From Latin redolent-, from redolere ‘emit a scent’.",The air was redolent of pine needles.,Latin
saturnine,adjective,Slow and gloomy.,From Latin saturninus ‘of Saturn’.,His saturnine disposition made him difficult to befriend.,Latin
truculent,adjective,Eager or quick to argue or fight; aggressively defiant.,"From Latin truculentus, from trux ‘fierce’.",His truculent attitude alienated many people.,Latin
umbrage,noun,Offense or annoyance.,From French ombrage ‘shade’.,She took umbrage at his remarks.,French
vacillate,verb,Alternate or waver between different opinions or actions; be indecisive.,"From Latin vacillat-, from vacillare ‘sway to and fro’.",She vacillated between the two options.,Latin
wistful,adjective,Having or showing a feeling of vague or regretful longing.,From wistly ‘attentively’.,She cast a wistful glance at the departing train.,Other
