word,Seed,form,definition,definition_2,etymology,example,origin
lassitude,Exotic,noun,A state of physical or mental weariness; lack of energy.,,"From Latin lassitudo, from lassus ""tired"".",,Latin
gravid,Exotic,adjective,Pregnant; full of meaning or a specified quality.,,"From Latin gravidus ""pregnant"", from gravis ""heavy"".",,Latin
antebellum,Exotic,adjective,"Occurring or existing before a particular war, especially the American Civil War.",,"From Latin ante ""before"" + bellum ""war"".",,Latin
orotund,Exotic,adjective,"(Of the voice or speech) full, round, and imposing; pompous.",,"From Latin ore rotundo ""with round mouth"", from os, or- ""mouth"" + rotundus ""round"".",,Latin
temerity,Exotic,noun,Excessive confidence or boldness; audacity.,,"From Latin temeritas, from temere ""rashly"".",,Latin
peremptory,Exotic,adjective,"Insisting on immediate attention or obedience, especially in a brusquely imperious way.",,"From Latin peremptorius ""deadly, decisive"", from perempt- ""destroyed"", from the verb perimere, from per- ""completely"" + emere ""take, buy"".",,Latin
sardonic,Exotic,adjective,Grimly mocking or cynical.,,"From French sardonique, from Latin sardonius, from Greek sardonios, possibly from a plant from Sardinia which was said to produce facial convulsions resembling a grin.",,Greek
staid,Exotic,adjective,"Sedate, respectable, and unadventurous.",,"Past participle of archaic stay ""to support"", from Middle English steyen, from Old French estayer, from estaye ""a prop"".",,French
blithe,Exotic,adjective,Showing a casual and cheerful indifference considered to be callous or improper; happy or joyous.,,"From Old English bliþe ""joyful, kind, gentle, pleasant"", of Germanic origin.",,Old English
philistine,Exotic,noun,"A person who is hostile or indifferent to culture and the arts, or who has no understanding of them.",,"From Philistine, a member of an ancient people of southern Palestine, regarded in the Bible as hostile to the Israelites.",,Other
perdition,Exotic,noun,A state of eternal punishment and damnation into which a sinful and unpenitent person passes after death.,,"From Latin perditio(n-), from perdere ""to destroy"", from per- ""completely"" + dare ""to give"".",,Latin
contrite,Exotic,adjective,Feeling or expressing remorse or penitence; affected by guilt.,,"From Latin contritus ""worn out, ground down"", from the verb conterere, from con- ""together"" + terere ""to rub"".",,Latin
indolence,Exotic,noun,Avoidance of activity or exertion; laziness.,,"From Latin indolentia ""freedom from pain"", from in- ""not"" + dolere ""suffer pain"".",,Latin
supercilious,Exotic,adjective,Behaving or looking as though one thinks one is superior to others.,,"From Latin superciliosus ""haughty"", from supercilium ""eyebrow"" (as raised in arrogance).",,Latin
venal,Exotic,adjective,Showing or motivated by susceptibility to bribery; corrupt.,,"From Latin venalis ""for sale"", from venum ""sale"".",,Latin
prurient,Exotic,adjective,"having or encouraging an excessive interest in sexual matters, especially the sexual activity of others",,"From Latin prurient- ""itching, longing"", from the verb prurire.",,Latin
simulacrum,Exotic,noun,an image or representation of someone or something,,"From Latin simulacrum ""likeness, image"", from simulare ""to copy, represent"".",,Latin
lambent,Exotic,adjective,"glowing, gleaming or flickering with a soft radiance",,"From Latin lambent-’licking’, from the verb lambere",,Latin
abstemious,Exotic, adjective ," Not self-indulgent, especially when eating or drinking                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",,"From Latin abstemius, from ab- ""away from"" + stem of temetum ""intoxicating drink"".",,Latin
mendacious,Exotic,adjective,Not telling the truth; lying.,Given to or characterized by lying,"From Latin mendax, mendac- ‘lying’.",Mendacious politicians are nothing new.,Latin
histrionic,Exotic,adjective,Excessively theatrical or dramatic in character or style.,Deliberately affected or theatrical,From Latin histrionicus ‘pertaining to actors’.,His histrionic outburst shocked everyone.,Latin
ebullient,Exotic,adjective,Cheerful and full of energy.,Bubbling with enthusiasm or excitement,"From Latin ebullient-, from ebullire ‘bubble out’.",She was ebullient about her new job.,Latin
fatuous,Exotic,adjective,Silly and pointless.,Foolishly vacant or stupid,From Latin fatuus ‘foolish’.,Don't badger people with fatuous questions.,Latin
blandishment,Exotic,noun,A flattering or pleasing statement or action used to persuade someone gently to do something.,Speech or action that flatters and tends to coax,"From French blandissement, from blandir ‘to flatter’.",She used every blandishment to get her way.,French
abrogate,Exotic,verb,"To repeal or do away with (a law, right, or formal agreement).",To abolish by authoritative action,"From Latin abrogat-, from abrogare ‘repeal’.",The treaty was abrogated in 1929.,Latin
kismet,Exotic,noun,Destiny; fate.,,"From Turkish, from Arabic qisma ‘division, portion, fate’.",It was kismet that they met that day.,Arabic
verisimilitude,Exotic,noun,The appearance of being true or real.,,"From Latin verisimilitudo, from verus ‘true’ + similis ‘like’.",The novel's verisimilitude made the story all the more compelling.,Latin
obstreperous,Exotic,adjective,Noisy and difficult to control.,,"From Latin obstreperus, from ob- ‘against’ + strepere ‘make a noise’.",The obstreperous crowd refused to settle down despite repeated warnings.,Latin
laconic,Exotic,adjective,Using very few words.,,"From Greek Lakōnikos, referring to the Spartans, who were known for their terse speech.",Her laconic reply left everyone in the room puzzled.,Greek
cogent,Exotic,adjective,"(Of an argument or case) clear, logical, and convincing.",,"From Latin cogent-, from cogere ‘drive together’.",She presented a cogent argument for the new policy.,Latin
trenchant,Exotic,adjective,Vigorous or incisive in expression or style.,,"From Old French trenchant, from trencher ‘to cut’.",His trenchant remarks cut through the confusion.,French
bifurcate,Exotic,verb,Divide into two branches or forks.,,"From late Latin bifurcatus, past participle of bifurcare, from bi- ""two"" + furca ""fork"".",,Latin
dissemble,Exotic,verb,Conceal or disguise one's true feelings or beliefs.,,"From Latin dissimulare ""to disguise or conceal"", from dis- ""apart"" + simulare ""to copy, represent"".",,Latin
piquancy,Exotic,noun,The quality of being pleasantly stimulating or exciting.,,"From French piquant ""pricking"", present participle of piquer ""to prick"".",,French
gestalt,Exotic,noun,An organized whole that is perceived as more than the sum of its parts.,,"From German Gestalt ""shape, form"".",,German
quixotic,Rare,adjective,Exceedingly idealistic; unrealistic and impractical.,Caught up in the romance of noble deeds and the pursuit of unreachable goals,"From Don Quixote, the hero of a romance by Cervantes, noted for his idealism and chivalrous but impractical behavior.",His plans to build a utopia were as quixotic as they were ambitious.,Other
circumscribe,Rare,verb,Restrict (something) within limits.,To draw a line around; to encircle completely,"From Latin circumscribere, from circum ‘around’ + scribere ‘write’.",The rules circumscribe the powers of the committee.,Latin
ephemeral,Rare,adjective,Lasting for a very short time.,Lasting only one day (especially of insects or flowers),From Greek ephēmeros ‘lasting only a day’.,Fame in the world of pop music can be ephemeral.,Greek
obfuscate,Rare,verb,"To render obscure, unclear, or unintelligible.",To make so confused or opaque as to be difficult to perceive or understand,"From Latin obfuscat-, ‘darkened’, from the verb obfuscare.",The report was written in a way that would obfuscate the real issues.,Latin
sagacious,Rare,adjective,Having or showing keen mental discernment and good judgment; wise or shrewd.,Having or showing acute mental discernment and keen practical sense,"From Latin sagax, sagac- ‘wise’.",The sagacious leader guided the country through difficult times.,Latin
mellifluous,Rare,adjective,(Of a voice or words) sweet or musical; pleasant to hear.,Having a smooth rich flow (especially of sound),"From Latin mellifluus, from mel ‘honey’ + fluere ‘to flow’.",She spoke in a mellifluous voice that captivated the audience.,Latin
ineffable,Rare,adjective,Too great or extreme to be expressed or described in words.,Too sacred to be uttered; forbidden to be spoken,"From Latin ineffabilis, from in- ‘not’ + effabilis ‘able to be expressed’.",The beauty of the sunset was ineffable.,Latin
soporific,Rare,adjective,Tending to induce drowsiness or sleep.,A drug or other substance that induces sleep,"From French soporifique, from Latin sopor ‘sleep’.",The professor's soporific lecture made it hard to stay awake.,Latin
vociferous,Rare,adjective,Vehement or clamorous.,Expressing feelings or opinions in a very loud or forceful way,"From Latin vociferari, from vox ‘voice’ + ferre ‘carry’.",The vociferous crowd cheered for their team.,Latin
equanimity,Rare,noun,"Mental calmness, composure, and evenness of temper, especially in a difficult situation.",The quality of being calm and even-tempered,"From Latin aequanimitas, from aequus ‘equal’ + animus ‘mind’.",She accepted the bad news with remarkable equanimity.,Latin
sycophant,Rare,noun,A person who acts obsequiously toward someone important in order to gain advantage.,One who attempts to win favor by flattering influential people,"From Greek sukophantes, originally ‘informer’.",The office sycophant was always flattering the boss.,Greek
taciturn,Rare,adjective,Reserved or uncommunicative in speech; saying little.,Temperamentally disinclined to talk,"From Latin taciturnus, from tacere ‘be silent’.","He was a taciturn man, but his actions spoke volumes.",Latin
quandary,Rare,noun,A state of perplexity or uncertainty over what to do in a difficult situation.,A puzzling predicament,"Origin unknown, first recorded in the late 16th century.",She was in a quandary about whether to accept the offer.,Other
enervate,Rare,verb,To cause (someone) to feel drained of energy; weaken.,,"From Latin enervatus, from e- (variant of ex-) ‘out of’ + nervus ‘sinew’.",The hot sun enervated her to the point of collapse.,Latin
intransigent,Rare,adjective,Unwilling or refusing to change one's views or to agree about something.,,"From French intransigeant, from Spanish intransigente.",The negotiations broke down due to both sides being intransigent.,French
ubiquitous,Rare,adjective,"Present, appearing, or found everywhere.",,"From modern Latin ubiquitas, from Latin ubique ‘everywhere’.",Smartphones have become ubiquitous in modern society.,Latin
vicissitude,Rare,noun,"A change of circumstances or fortune, typically one that is unwelcome or unpleasant.",A difficulty or hardship attendant on a way of life or career,"From Latin vicissitudo, from vicissim ‘by turns’.",He endured the vicissitudes of a turbulent career.,Latin
zephyr,Rare,noun,A soft gentle breeze.,A lightweight fabric or garment,"From Greek Zephuros, god of the west wind.",A zephyr cooled the hot summer air.,Greek
apocryphal,Rare,adjective,"(Of a story or statement) of doubtful authenticity, although widely circulated as being true.",Being of questionable authenticity,From Greek apokruphos ‘hidden’.,The story of the haunted house is probably apocryphal.,Greek
demagogue,Rare,noun,A political leader who seeks support by appealing to popular desires and prejudices rather than by using rational argument.,A leader who makes use of popular prejudices and false claims and promises,"From Greek dēmagōgos, from dēmos ‘people’ + agōgos ‘leading’.",The demagogue stirred up the crowd with fiery rhetoric.,Greek
fastidious,Rare,adjective,Very attentive to and concerned about accuracy and detail.,"Reflecting a meticulous, sensitive, or demanding nature","From Latin fastidiosus, from fastidium ‘loathing’.",He chooses his words with fastidious care.,Latin
garrulous,Rare,adjective,"Excessively talkative, especially on trivial matters.",Given to excessive and often trivial or rambling talk,"From Latin garrulus, from garrire ‘to chatter’.",The garrulous host kept the guests entertained all night.,Latin
harangue,Rare,noun,A lengthy and aggressive speech.,To deliver a pompous or aggressive speech,"From Italian aringa, from aringare ‘to speak in public’.",He delivered a harangue about the evils of the media.,Italian
iconoclast,Rare,noun,A person who attacks cherished beliefs or institutions.,One who attacks cherished beliefs or institutions,"From Greek eikonoklastēs, from eikōn ‘image’ + klan ‘to break’.",The artist was known as an iconoclast in the art world.,Greek
juxtapose,Rare,verb,To place or deal with close together for contrasting effect.,,"From French juxtaposer, from Latin juxta ‘next’ + French poser ‘to place’.",The exhibition juxtaposes modern art with classical sculpture.,Latin
lucid,Rare,adjective,Expressed clearly; easy to understand.,Having full use of ones mental faculties; sane,"From Latin lucidus, from lucere ‘shine’.",She gave a lucid account of the events.,Latin
nefarious,Rare,adjective,(Typically of an action or activity) wicked or criminal.,Utterly wicked or evil,"From Latin nefarius, from nefas ‘wrong, crime’.",The nefarious activities of the organized-crime syndicates were widely reported.,Latin
paragon,Rare,noun,A person or thing regarded as a perfect example of a particular quality.,A perfect diamond of 100 carats or more,"From Old French paragon, from Italian paragone ‘touchstone’.",She is a paragon of virtue.,French
rancor,Rare,noun,"Bitterness or resentfulness, especially when long-standing.",Deep-seated ill will or hatred,From Latin rancor ‘rankness’.,She answered her accusers calmly and without rancor.,Latin
tantamount,Rare,adjective,Equivalent in seriousness to; virtually the same as.,,From Italian tanto ‘so much’ + ammontare ‘to amount to’.,His silence was tantamount to an admission of guilt.,Italian
wheedle,Rare,verb,To employ endearments or flattery to persuade someone to do something or give one something.,,"Of uncertain origin, perhaps from Old English.",She managed to wheedle another piece of cake from her mother.,Old English
yokel,Rare,noun,An uneducated and unsophisticated person from the countryside.,,"Of unknown origin, first recorded in the 19th century.",The city folk looked down on the yokel.,Other
zealot,Rare,noun,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals.",One who is zealous on behalf of a cause,"From Greek zēlōtēs, from zēlos ‘zeal’.",He was a zealot for environmental causes.,Greek
capitulate,Rare,verb,Cease to resist an opponent or an unwelcome demand; surrender.,,"From Latin capitulatus, from capitulum ‘chapter, heading’.",The enemy was forced to capitulate unconditionally.,Latin
deleterious,Rare,adjective,Causing harm or damage.,,From Greek dēlētērios ‘noxious’.,Divorce is assumed to have deleterious effects on children.,Greek
effrontery,Rare,noun,Insolent or impertinent behavior.,,"From French effronterie, from effronté ‘shameless’.",He had the effrontery to challenge the decision.,French
hapless,Rare,adjective,(Especially of a person) unfortunate.,Having no luck; unfortunate,From Old Norse happ ‘good luck’.,The hapless passengers were stranded at the airport.,Norse
kaleidoscope,Rare,noun,A constantly changing pattern or sequence of objects or elements.,A succession of changing phases or actions,From Greek kalos ‘beautiful’ + eidos ‘form’ + skopein ‘to look at’.,The city lights formed a kaleidoscope of colors.,Greek
misanthrope,Rare,noun,A person who dislikes humankind and avoids human society.,A person who hates or distrusts humankind,"From Greek misanthrōpos, from misein ‘to hate’ + anthrōpos ‘man’.",The old man was a misanthrope who lived alone.,Greek
neophyte,Rare,noun,"A person who is new to a subject, skill, or belief.",A person newly converted to a belief,From Greek neophutos ‘newly planted’.,"As a neophyte, she still had much to learn.",Greek
panacea,Rare,noun,A solution or remedy for all difficulties or diseases.,A remedy for all ills or difficulties,"From Greek panakeia, from pan ‘all’ + akos ‘remedy’.",There is no single panacea for the world's economic problems.,Greek
penchant,Rare,noun,A strong or habitual liking for something or tendency to do something.,A strong and continued inclination,From French penchant ‘leaning’.,She has a penchant for chocolate.,French
querulous,Rare,adjective,Complaining in a petulant or whining manner.,Given to complaining; peevish,"From Latin querulus, from queri ‘to complain’.",The querulous old woman was never satisfied.,Latin
raconteur,Rare,noun,A person who tells anecdotes in a skillful and amusing way.,A person skilled in telling stories,From French.,She was a brilliant raconteur.,French
surreptitious,Rare,adjective,"Kept secret, especially because it would not be approved of.","Kept secret, especially for improper purposes","From Latin surreptitius, from surripere ‘seize secretly’.",They carried on a surreptitious affair.,Latin
tenuous,Rare,adjective,Very weak or slight.,Having little substance or strength,From Latin tenuis ‘thin’.,The link between them was tenuous.,Latin
winsome,Rare,adjective,Attractive or appealing in appearance or character.,Fresh and innocently charming,"From Old English wynsum, from wynn ‘joy’.",She had a winsome smile.,Old English
adamant,Rare,adjective,Refusing to be persuaded or to change one's mind.,,From Greek adamas ‘untameable’.,He is adamant that he is not going to resign.,Greek
bombastic,Rare,adjective,High-sounding but with little meaning; inflated.,,From Middle French bombaste ‘cotton padding’.,His bombastic rhetoric concealed his lack of ideas.,French
cacophony,Rare,noun,"A harsh, discordant mixture of sounds.",,"From Greek kakophōnia, from kakos ‘bad’ + phōnē ‘voice’.",A cacophony of car horns filled the air.,Greek
didactic,Rare,adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.",,"From Greek didaktikos, from didaskein ‘to teach’.",The novel had a didactic purpose.,Greek
gregarious,Rare,adjective,(Of a person) fond of company; sociable.,,"From Latin gregarius, from grex ‘flock’.",He was a popular and gregarious man.,Latin
ignominious,Rare,adjective,Deserving or causing public disgrace or shame.,,"From Latin ignominiosus, from ignominia ‘disgrace’.",It was an ignominious end to his career.,Latin
ostensible,Rare,adjective,"Stated or appearing to be true, but not necessarily so.",,"From French ostensible, from Latin ostendere ‘to show’.",The ostensible reason for his visit was to see his parents.,Latin
palpable,Rare,adjective,(Of a feeling or atmosphere) so intense as to seem almost tangible.,,"From late Latin palpabilis, from palpare ‘to feel’.",There was a palpable sense of relief in the room.,Latin
quiescent,Rare,adjective,In a state or period of inactivity or dormancy.,,"From Latin quiescent-, from quiescere ‘be quiet’.",The volcano had been quiescent for centuries.,Latin
redolent,Rare,adjective,Strongly reminiscent or suggestive of (something).,,"From Latin redolent-, from redolere ‘emit a scent’.",The air was redolent of pine needles.,Latin
saturnine,Rare,adjective,Slow and gloomy.,,From Latin saturninus ‘of Saturn’.,His saturnine disposition made him difficult to befriend.,Latin
truculent,Rare,adjective,Eager or quick to argue or fight; aggressively defiant.,,"From Latin truculentus, from trux ‘fierce’.",His truculent attitude alienated many people.,Latin
umbrage,Rare,noun,Offense or annoyance.,,From French ombrage ‘shade’.,She took umbrage at his remarks.,French
vacillate,Rare,verb,Alternate or waver between different opinions or actions; be indecisive.,,"From Latin vacillat-, from vacillare ‘sway to and fro’.",She vacillated between the two options.,Latin
wistful,Rare,adjective,Having or showing a feeling of vague or regretful longing.,,From wistly ‘attentively’.,She cast a wistful glance at the departing train.,Other
cogitate,Rare,verb,"Think deeply about something, meditate or reflect",,"From Latin cogitatus, past participle of cogitare ""to think"", from co- ""together"" + agitare ""to turn over, consider"".",,Latin
aphorism,Rare, noun      ,"a pithy observation that contains a general truth, such as, “if it ain't broke, don't fix it.”.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",,"From Greek aphorismos ""definition, pithy sentence"", from aphorizein ""to mark off, divide"".",,Greek
placate,Rare, adjective ,make someone less angry or hostile,,"From Latin placatus, past participle of placare ""to calm, appease"".",,Latin
inimical,Rare, adjective ,Tending to obstruct or harm; unfriendly; hostile.,,"From Latin inimicalis, from inimicus ""enemy"", from in- ""not"" + amicus ""friend"".",,Latin
irascible,Rare, adjective ,"having or showing a tendency to be easily angered, very irritable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",,"From Latin irascibilis, from irasci ""to be angry"", from ira ""anger"".",,Latin
numinous,Rare, adjective ,having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,"From Latin numinosus, from numen ""divine power"".",,Latin
oblique,Rare, adjective ,"not straightforward, indirect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",,"From Latin obliquus ""slanting, sidelong, indirect"".",,Latin
pedantic,Rare, adjective ,Excessively concerned with minor details and rules or with displaying academic learning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,"From French pédantique, from Italian pedante ""teacher, schoolmaster"".",,French
reticent,Rare, adjective , Reluctant to share ones thoughts and feelings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,"From Latin reticent- ""remaining silent"", from the verb reticere, from re- (expressing intensive force) + tacere ""be silent"".",,Latin
salutary,Rare, adjective ," producing good effects; beneficial,(especially with reference to something unwelcome                                                                                                                                                                                                                                                                                                                                                                                      ",,"From Latin salutaris ""health-giving"", from salus, salut- ""health"".",,Latin
semantic,Rare, adjective ," The meaning of a word, phrase, sentence or text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",,"From French sémantique, from Greek sēmantikos ""significant"", from sēmainein ""to show, signify"", from sēma ""sign"".",,Greek
vexatious,Rare, adjective ,"causing or tending to cause annoyance, frustration, or worry.",,"From Latin vexare ""to shake, disturb, harass"".",,Latin
vicariously,Rare, adjective , in a way that is experienced in the imagination through the actions of another person.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,"From Latin vicarius ""substitute"", from vicis ""change, alternation"".",,Latin
vicissitude,Rare, noun      ," a change of circumstances or fortune, typically one that is unwelcome                                                                                                                                                                                                                                                                              ",A difficulty or hardship attendant on a way of life or career,"From Latin vicissitudo, from vicissim ""by turns"", from vicis ""change"".",,Latin
histrionic,Rare, adjective ,overly theatrical or melodramatic in character or style                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Deliberately affected or theatrical,"From Latin histrionicus ""pertaining to an actor"", from histrio ""actor"".",,Latin
acerbic,Rare, adjective , (especially of a comment or style of speaking) sharp and forthright                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,"From Latin acerbus ""bitter, harsh, sour"", from acer ""sharp"".",,Latin
bellicose,Rare,adjective, Demonstrating aggression and willingness to fight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,"From Latin bellicosus, from bellicus ""of war"", from bellum ""war"".",,Latin
atavistic,Rare,adjective, Relating to or characterized by reversion to something ancient or ancestral                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,"From Latin atavus ""ancestor"", from at- (beyond) + avus ""grandfather"".",,Latin
hegemony,Rare,noun,"leadership or dominance, especially by one country or social group over others. ",,"From Greek hegemonia ""leadership, rule"", from hegemon ""leader"".",,Greek
obdurate,Rare,adjective, Stubbornly refusing to change one's opinion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Impervious to persuasion, especially to moral persuasion","From Latin obduratus ""hardened"", past participle of obdurare ""to harden"".",,Latin
perfidious,Rare,adjective, Deceitful and untrustworthy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,"From Latin perfidiosus, from perfidia ""treachery"", from perfidus ""faithless"", from per- ""through"" + fides ""faith"".",,Latin
turpitude,Rare,adjective,depravity; wickedness,,"From Latin turpitudo ""baseness"", from turpis ""vile, base, shameful"".",,Latin
inveterate,Rare,adjective,"having a particular habit, activity, or interest that is long-established and unlikely to change ",,"From Latin inveteratus ""of long standing"", past participle of inveterare ""to make old"", from in- ""in"" + vetus ""old"".",,Latin
