word,form,definition,etymology,example,origin
penchant,noun,A strong or habitual liking for something or tendency to do something.,From French penchant ‘leaning’.,She has a penchant for chocolate.,French
querulous,adjective,Complaining in a petulant or whining manner.,"From Latin querulus, from queri ‘to complain’.",The querulous old woman was never satisfied.,Latin
raconteur,noun,A person who tells anecdotes in a skillful and amusing way.,From French.,She was a brilliant raconteur.,French
surreptitious,adjective,"Kept secret, especially because it would not be approved of.","From Latin surreptitius, from surripere ‘seize secretly’.",They carried on a surreptitious affair.,Latin
tenuous,adjective,Very weak or slight.,From Latin tenuis ‘thin’.,The link between them was tenuous.,Latin
winsome,adjective,Attractive or appealing in appearance or character.,"From Old English wynsum, from wynn ‘joy’.",She had a winsome smile.,Old English
adamant,adjective,Refusing to be persuaded or to change one's mind.,From Greek adamas ‘untameable’.,He is adamant that he is not going to resign.,Greek
bombastic,adjective,High-sounding but with little meaning; inflated.,From Middle French bombaste ‘cotton padding’.,His bombastic rhetoric concealed his lack of ideas.,French
cacophony,noun,"A harsh, discordant mixture of sounds.","From Greek kakophōnia, from kakos ‘bad’ + phōnē ‘voice’.",A cacophony of car horns filled the air.,Greek
didactic,adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.","From Greek didaktikos, from didaskein ‘to teach’.",The novel had a didactic purpose.,Greek
gregarious,adjective,(Of a person) fond of company; sociable.,"From Latin gregarius, from grex ‘flock’.",He was a popular and gregarious man.,Latin
ignominious,adjective,Deserving or causing public disgrace or shame.,"From Latin ignominiosus, from ignominia ‘disgrace’.",It was an ignominious end to his career.,Latin
ostensible,adjective,"Stated or appearing to be true, but not necessarily so.","From French ostensible, from Latin ostendere ‘to show’.",The ostensible reason for his visit was to see his parents.,Latin
palpable,adjective,(Of a feeling or atmosphere) so intense as to seem almost tangible.,"From late Latin palpabilis, from palpare ‘to feel’.",There was a palpable sense of relief in the room.,Latin
quiescent,adjective,In a state or period of inactivity or dormancy.,"From Latin quiescent-, from quiescere ‘be quiet’.",The volcano had been quiescent for centuries.,Latin
redolent,adjective,Strongly reminiscent or suggestive of (something).,"From Latin redolent-, from redolere ‘emit a scent’.",The air was redolent of pine needles.,Latin
saturnine,adjective,Slow and gloomy.,From Latin saturninus ‘of Saturn’.,His saturnine disposition made him difficult to befriend.,Latin
truculent,adjective,Eager or quick to argue or fight; aggressively defiant.,"From Latin truculentus, from trux ‘fierce’.",His truculent attitude alienated many people.,Latin
umbrage,noun,Offense or annoyance.,From French ombrage ‘shade’.,She took umbrage at his remarks.,French
vacillate,verb,Alternate or waver between different opinions or actions; be indecisive.,"From Latin vacillat-, from vacillare ‘sway to and fro’.",She vacillated between the two options.,Latin
wistful,adjective,Having or showing a feeling of vague or regretful longing.,From wistly ‘attentively’.,She cast a wistful glance at the departing train.,Other
cogitate,verb,"Think deeply about something, meditate or reflect","From Latin cogitatus, past participle of cogitare ""to think"", from co- ""together"" + agitare ""to turn over, consider"".",,Latin
aphorism, noun      ,"a pithy observation that contains a general truth, such as, “if it ain't broke, don't fix it.”.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","From Greek aphorismos ""definition, pithy sentence"", from aphorizein ""to mark off, divide"".",,Greek
placate, adjective ,make someone less angry or hostile,"From Latin placatus, past participle of placare ""to calm, appease"".",,Latin
inimical, adjective ,Tending to obstruct or harm; unfriendly; hostile.,"From Latin inimicalis, from inimicus ""enemy"", from in- ""not"" + amicus ""friend"".",,Latin
irascible, adjective ,"having or showing a tendency to be easily angered, very irritable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","From Latin irascibilis, from irasci ""to be angry"", from ira ""anger"".",,Latin
numinous, adjective ,having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"From Latin numinosus, from numen ""divine power"".",,Latin
oblique, adjective ,"not straightforward, indirect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","From Latin obliquus ""slanting, sidelong, indirect"".",,Latin
pedantic, adjective ,Excessively concerned with minor details and rules or with displaying academic learning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"From French pédantique, from Italian pedante ""teacher, schoolmaster"".",,French
reticent, adjective , Reluctant to share ones thoughts and feelings                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"From Latin reticent- ""remaining silent"", from the verb reticere, from re- (expressing intensive force) + tacere ""be silent"".",,Latin
salutary, adjective ," producing good effects; beneficial,(especially with reference to something unwelcome                                                                                                                                                                                                                                                                                                                                                                                      ","From Latin salutaris ""health-giving"", from salus, salut- ""health"".",,Latin
semantic, adjective ," The meaning of a word, phrase, sentence or text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","From French sémantique, from Greek sēmantikos ""significant"", from sēmainein ""to show, signify"", from sēma ""sign"".",,Greek
vexatious, adjective ,"causing or tending to cause annoyance, frustration, or worry.","From Latin vexare ""to shake, disturb, harass"".",,Latin
vicariously, adjective , in a way that is experienced in the imagination through the actions of another person.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"From Latin vicarius ""substitute"", from vicis ""change, alternation"".",,Latin
vicissitude, noun      ," a change of circumstances or fortune, typically one that is unwelcome                                                                                                                                                                                                                                                                              ","From Latin vicissitudo, from vicissim ""by turns"", from vicis ""change"".",,Latin
histrionic, adjective ,overly theatrical or melodramatic in character or style                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin histrionicus ""pertaining to an actor"", from histrio ""actor"".",,Latin
acerbic, adjective , (especially of a comment or style of speaking) sharp and forthright                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"From Latin acerbus ""bitter, harsh, sour"", from acer ""sharp"".",,Latin
bellicose,adjective, Demonstrating aggression and willingness to fight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"From Latin bellicosus, from bellicus ""of war"", from bellum ""war"".",,Latin
atavistic,adjective, Relating to or characterized by reversion to something ancient or ancestral                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"From Latin atavus ""ancestor"", from at- (beyond) + avus ""grandfather"".",,Latin
hegemony,noun,"leadership or dominance, especially by one country or social group over others. ","From Greek hegemonia ""leadership, rule"", from hegemon ""leader"".",,Greek
obdurate,adjective, Stubbornly refusing to change one's opinion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin obduratus ""hardened"", past participle of obdurare ""to harden"".",,Latin
perfidious,adjective, Deceitful and untrustworthy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"From Latin perfidiosus, from perfidia ""treachery"", from perfidus ""faithless"", from per- ""through"" + fides ""faith"".",,Latin
turpitude,adjective,depravity; wickedness,"From Latin turpitudo ""baseness"", from turpis ""vile, base, shameful"".",,Latin
inveterate,adjective,"having a particular habit, activity, or interest that is long-established and unlikely to change ","From Latin inveteratus ""of long standing"", past participle of inveterare ""to make old"", from in- ""in"" + vetus ""old"".",,Latin
putative,adjective,generally considered or reputed to be,"From Latin putativus, from putare ""to consider, suppose"".",,Latin
schadenfreude,noun,pleasure derived by someone from another person's misfortune.,"From German Schadenfreude, from Schaden ""harm"" + Freude ""joy"".",,German
rigamarole,noun,an elaborate or complicated procedure ,"Alteration of ragman roll, a document with many seals, later used for a long list or catalog.",,Other
byzantine,adjective,highly complex or intricate and occasionally devious,"From Byzantine, relating to Byzantium (Constantinople), known for complex administration and intrigue.",,Greek
anachronistic,adjective,belonging to a period other than that being portrayed,"From Greek anakhronismos, from ana- ""against"" + khronos ""time"".",,Greek
luddite,noun,a person opposed to new technology or ways of working,"From the Luddites, 19th-century English workers who destroyed machinery that threatened their jobs.",,Other
sophism,noun,"a clever but false argument, especially one used deliberately to deceive","late Middle English, from Old French sophime, via Latin from Greek sophisma ‘clever device’",,Greek
chagrin,noun,annoyance or distress at having failed or been humiliated,"From French chagrin ""melancholy, anxiety"", possibly from Old French graigne ""sadness"".",,French
festoon,verb,"adorn with chains, garlands, or other decorations","From French feston, from Italian festone ""a festoon"", from festa ""feast"".",,French
turgid,adjective,swollen and distended or congested,"From Latin turgidus ""swollen"", from turgere ""to swell"".",,Latin
penury,noun,Extreme poverty; destitution.,"From Latin penuria ""want, need, scarcity"".",,Latin
pejorative,adjective,Expressing contempt or disapproval.,"From French péjoratif, from Latin pejorare ""to make worse"", from pejor ""worse"".",,Latin
solicitude,noun,Care or concern for someone or something.,"From Latin sollicitudo, from sollicitus ""anxious"", from sollus ""entire"" + citus ""aroused"".",,Latin
convivial,adjective,"Friendly, lively, and enjoyable; (of a person) cheerful and friendly; jovial.","From Latin convivialis, from convivium ""a feast"", from con- ""with"" + vivere ""to live"".",,Latin
admonish,verb,Warn or reprimand someone firmly.,"From Latin admonere ""to remind, warn"", from ad- ""to"" + monere ""warn"".",,Latin
myopic,adjective,lacking foresight or intellectual insight,"From Greek myōpia, from myōps ""short-sighted"", from myein ""to shut"" + ōps ""eye"".",,Greek
egregious,adjective,Outstandingly bad; shocking.,"From Latin egregius ""outstanding"", from e- ""out of"" + grex, greg- ""flock"".",,Latin
dilettante,noun,A person who cultivates an area of interest without real commitment or knowledge.,"From Italian dilettante ""lover of the arts"", from dilettare ""to delight"", from Latin delectare.",,Italian
chauvinist,noun,A person displaying aggressive or exaggerated patriotism; a person displaying excessive or prejudiced support for their own cause or group.,"From French chauvinisme, named after Nicolas Chauvin, a legendary French soldier and patriot.",,French
jingoism,noun,"Extreme patriotism, especially in the form of aggressive or warlike foreign policy.","From jingo, a word used in a popular song supporting British policy during the Russo-Turkish War (1877–78).",,Other
prosaic,adjective,Having the style or diction of prose; lacking poetic beauty; commonplace; unromantic.,"From Latin prosaicus, from prosa ""prose"".",,Latin
apotheosis,noun,The elevation of someone to divine status; the highest point in the development of something; culmination or climax.,"From Greek apotheōsis ""deification"", from apotheoun ""deify"", from apo- ""completely"" + theos ""god"".",,Greek
ambivalent,adjective,Having mixed feelings or contradictory ideas about something or someone.,"From Latin ambi- ""both"" + valentia ""strength"", from valere ""be strong"".",,Latin
beguiling,adjective,"Charming or enchanting, often in a deceptive way.","From Middle Dutch begīlen ""to deceive"".",,Dutch
treacle,noun,"A thick, sticky dark syrup made from partly refined sugar; cloying sentimentality or flattery.","From Middle English triacle ""antidote"", via Old French from Latin theriaca, from Greek thēriakē ""antidote against a poisonous bite"".",,Greek
sartorial,adjective,"Relating to tailoring, clothes, or style of dress.","From Latin sartor ""tailor"", from sarcire ""to patch, mend"".",,Latin
aegis,noun,"The protection, backing, or support of a particular person or organization.","From Greek aigis, the shield of Zeus or Athena.",,Greek
indomitable,adjective,Impossible to subdue or defeat.,"From Latin indomitabilis, from in- ""not"" + domitare ""to tame"".",,Latin
equivocation,noun,The use of ambiguous language to conceal the truth or to avoid committing oneself; prevarication.,"From Late Latin aequivocationem, from aequivocus ""ambiguous"", from aequus ""equal"" + vocare ""to call"".",,Latin
forbearance,noun,Patient self-control; restraint and tolerance.,"From Old English forberan ""to bear, endure"", from for- + beran ""to bear"".",,Old English
feckless,adjective,Lacking initiative or strength of character; irresponsible.,"From Scottish feck ""effect, value"", from Middle English fek, shortened from effect + -less.",,Scottish
esoteric,adjective,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,"From Greek esōterikos ""belonging to an inner circle"", from esōterō ""more within"", comparative of esō ""within"".",,Greek
sidle,verb,"Walk in a furtive, unobtrusive, or timid manner, especially sideways or obliquely.",From side + -le (frequentative suffix).,,Other
depredation,noun,An act of attacking or plundering.,"From Latin depraedatio(n-), from the verb depraedari, from de- ""completely"" + praedari ""plunder"".",,Latin
astringent,adjective,"Causing the contraction of body tissues, typically of the skin; severe or stern in manner.","From Latin astringent- ""binding"", from the verb astringere, from ad- ""to"" + stringere ""to bind"".",,Latin
stolid,adjective,"Calm, dependable, and showing little emotion or animation.","From Latin stolidus ""dull, slow"".",,Latin
goad,verb,Provoke or annoy (someone) so as to stimulate some action or reaction.,"From Old English gad ""a spike"", of Germanic origin.",,Old English
diffident,adjective,Modest or shy because of a lack of self-confidence.,"From Latin diffident- ""lacking confidence"", from the verb diffidere, from dis- ""away"" + fidere ""to trust"".",,Latin
evanescent,adjective,"Soon passing out of sight, memory, or existence; quickly fading or disappearing.","From Latin evanescent- ""disappearing"", from the verb evanescere, from e- ""out of"" + vanescere ""vanish"".",,Latin
ostentatious,adjective,Characterized by vulgar or pretentious display; designed to impress or attract notice.,"From French ostentatieux, from Latin ostentatio(n-) ""display"", from the verb ostentare, frequentative of ostendere ""to show"".",,Latin
ribald,adjective,Referring to sexual matters in an amusingly rude or irreverent way.,"From Old French ribauld ""rogue, rascal"", from riber ""to be wanton"", of Germanic origin.",,French
arable,adjective,(Of land) used or suitable for growing crops.,"From Latin arabilis, from arare ""to plow"".",,Latin
eponymous,adjective,"Giving one's name to a person, place, or thing.","From Greek epōnumos ""given as a name, giving one's name to someone or something"", from epi ""upon"" + onoma ""name"".",,Greek
bilk,verb,Cheat or defraud (someone).,"Perhaps from Old English *bilican ""to deceive"", or from the card game of cribbage, where it meant ""to spoil someone's score"".",,Old English
,,,,,
pastiche,noun,"An artistic work in a style that imitates that of another work, artist, or period.","From French, from Italian pasticcio, from pasta ""paste"".",,French
inscrutable,adjective,Impossible to understand or interpret.,"From Latin inscrutabilis, from in- ""not"" + scrutari ""to examine"".",,Latin
verisimilitude,noun,The appearance of being true or real.,"From Latin verisimilitudo, from verisimilis ""probable"", from veri (genitive of verus ""true"") + similis ""like"".",,Latin
auspicious,adjective,Conducive to success; favorable.,"From Latin auspicium ""divination by observing birds"", from auspex ""bird seer"".",,Latin
stygian,adjective,"Relating to the River Styx; extremely dark, gloomy, or forbidding.","From Latin Stygius, from Greek Stugios, from Stux, Stug- ""Styx"" (a river of the underworld).",,Greek
enmity,noun,The state or feeling of being actively opposed or hostile to someone or something.,"From Old French enemite, from Latin inimicitas, from inimicus ""enemy"".",,Latin
antipathy,noun,A deep-seated feeling of dislike; aversion.,"From Greek antipatheia, from anti- ""against"" + pathos ""feeling"".",,Greek
propitious,adjective,Giving or indicating a good chance of success; favorable.,"From Latin propitius ""favorable"".",,Latin
beatific,adjective,Showing or producing exalted joy or blessedness.,"From Latin beatificus, from beatus ""blessed"" + -ficus ""-making"".",,Latin
idiosyncrasy,noun,A distinctive or peculiar feature or characteristic of a place or thing; a peculiarity of constitution or temperament.,"From Greek idiosunkrasia, from idios ""own, private"" + sunkrasis ""mixture, temperament"".",,Greek
portent,noun,"A sign or warning that something, especially something momentous or calamitous, is likely to happen.","From Latin portentum ""omen, token"", from portendere ""to foretell"".",,Latin
inure,verb,"Accustom (someone) to something, especially something unpleasant.","From Middle English inure ""to come into use"", from in- + ure ""use, practice"".",,Other
indigent,adjective,Poor; needy.,"From Latin indigent- ""lacking"", from the verb indigere, from indu- ""within"" + egere ""to need"".",,Latin
usurp,verb,Take (a position of power or importance) illegally or by force.,"From Latin usurpare ""to take possession of without legal claim"".",,Latin
sentient,adjective,Able to perceive or feel things.,"From Latin sentient- ""feeling"", from the verb sentire.",,Latin
affective,adjective,"Relating to moods, feelings, and attitudes.","From Latin affect- ""influenced, affected"", from the verb afficere, from ad- ""to"" + facere ""to make"".",,Latin
replete,adjective,Filled or well-supplied with something.,"From Latin repletus ""filled up"", past participle of replere, from re- ""again"" + plere ""to fill"".",,Latin
facile,adjective,(Especially of a theory or argument) appearing neat and comprehensive only by ignoring the true complexities of an issue; superficial.,"From Latin facilis ""easy"", from facere ""to make"".",,Latin
rarefied,adjective,"(Of air, especially that at high altitudes) of lower pressure than usual; thin; (of a subject or environment) only for or understood by a small number of people with specialized knowledge.","From Latin rarus ""thin, sparse"" + facere ""to make"".",,Latin
austere,adjective,"Severe or strict in manner, attitude, or appearance; having no comforts or luxuries; harsh or ascetic.","From Latin austerus, from Greek austēros ""harsh, severe"".",,Greek
aplomb,noun,"Self-confidence or assurance, especially when in a demanding situation.","From French à plomb ""according to a plumb line"", from à ""to"" + plomb ""lead weight"".",,French
pariah,noun,An outcast; a person who is rejected from society or home.,"From Tamil paraiyar, plural of paraiyan ""drummer"" (as the name of a caste of low status).",,Tamil
somatic,adjective,"Relating to the body, especially as distinct from the mind.","From Greek sōmatikos, from sōma ""body"".",,Greek
deign,verb,Do something that one considers to be beneath one's dignity.,"From Old French deignier, from Latin dignari ""to consider worthy"", from dignus ""worthy"".",,Latin
pantheon,noun,"All the gods of a people or religion collectively; a temple dedicated to all the gods; a group of particularly respected, famous, or important people.","From Greek pantheion ""temple of all the gods"", from pan ""all"" + theion ""of the gods"".",,Greek
remonstrate,verb,Make a forcefully reproachful protest.,"From medieval Latin remonstratus, past participle of remonstrare, from re- (expressing opposition) + monstrare ""to show"".",,Latin
alacrity,noun,Brisk and cheerful readiness.,"From Latin alacritas, from alacer ""brisk, lively"".",,Latin
amorphous,adjective,Without a clearly defined shape or form.,"From Greek amorphos ""shapeless"", from a- ""without"" + morphē ""form"".",,Greek
bereft,adjective,"Deprived of or lacking something, especially a non-material asset.","Past participle of bereave, from Old English bereafian, from be- + reafian ""to rob, plunder"".",,Old English
cajole,verb,Persuade (someone) to do something by sustained coaxing or flattery.,"From French cajoler, perhaps from Picard ""to chatter like a jay"", from gajole ""cage"".",,French
cavort,verb,Jump or dance around excitedly.,"Perhaps from curvet, from Italian corvetta ""a leap"", from Latin curvus ""curved"".",,Other
commensurate,adjective,Corresponding in size or degree; in proportion.,"From Latin commensuratus, from com- ""together"" + mensuratus ""measured"".",,Latin
compunction,noun,A feeling of guilt or moral scruple that prevents or follows the doing of something bad.,"From Latin compunctio(n-), from the verb compungere, from com- ""together"" + pungere ""to prick"".",,Latin
eclectic,adjective,"Deriving ideas, style, or taste from a broad and diverse range of sources.","From Greek eklektikos, from eklektos ""selected"", from eklegein ""to select"", from ek ""out"" + legein ""to choose"".",,Greek
duress,noun,"Threats, violence, constraints, or other action brought to bear on someone to do something against their will or better judgment.","From Old French duresse, from Latin duritia ""hardness"", from durus ""hard"".",,Latin
equivocal,adjective,Open to more than one interpretation; ambiguous.,"From late Latin aequivocus, from aequi- ""equally"" + vocare ""to call"".",,Latin
extol,verb,Praise enthusiastically.,"From Latin extollere ""to raise up, elevate"", from ex- ""up"" + tollere ""to raise"".",,Latin
impetuous,adjective,Acting or done quickly and without thought or care.,"From late Latin impetuosus, from impetus ""attack"".",,Latin
inexorable,adjective,Impossible to stop or prevent.,"From Latin inexorabilis, from in- ""not"" + exorabilis ""able to be entreated"", from exorare ""to prevail upon"".",,Latin
insidious,adjective,"Proceeding in a gradual, subtle way, but with harmful effects.","From Latin insidiosus, from insidiae ""ambush"", from insidere ""to lie in wait for"", from in- ""in"" + sedere ""to sit"".",,Latin
ostracize,verb,Exclude (someone) from a society or group.,"From Greek ostrakizein, from ostrakon ""tile, potsherd"" (used as a voting tablet).",,Greek
presage,verb,"Be a sign or warning of (an imminent event, typically an unwelcome one).","From Latin praesagium, from praesagire ""to forebode"", from prae ""before"" + sagire ""perceive keenly"".",,Latin
relegate,verb,Assign an inferior rank or position to.,"From Latin relegatus, past participle of relegare ""to send away, banish"", from re- ""back"" + legare ""to send"".",,Latin
vestigial,adjective,Forming a very small remnant of something that was once much larger or more noticeable.,"From Latin vestigium ""footprint, trace"".",,Latin
vitriol,noun,Bitter criticism or malice.,"From Latin vitriolum ""sulfuric acid"", from vitrum ""glass"".",,Latin
